batch_execution_id,batch_name,start_time,end_time,status,total_workflows,successful_workflows,failed_workflows,skipped_workflows,error_message,last_updated_at,executed_workflows
BATCH_20260225_070032_317bfd,Monthly Databricks Batch - Synexis,2026-02-25T07:00:32.416Z,2026-02-25T07:28:57.253Z,Success,15,15,0,0,null,2026-02-25T07:28:38.819Z,null
BATCH_20260225_060053_da9aaa,Daily Databricks Batch - Synexis,2026-02-25T06:00:53.755Z,2026-02-25T06:28:39.549Z,Success,20,20,0,0,null,2026-02-25T06:28:12.817Z,null
BATCH_20260224_040024_222c46,Monthly Databricks Batch - Synexis,2026-02-24T04:00:24.299Z,2026-02-24T04:18:19.236Z,Success,15,15,0,0,null,2026-02-24T04:18:00.556Z,null
BATCH_20260224_030025_ca4a2a,Daily Databricks Batch - Synexis,2026-02-24T03:00:25.417Z,2026-02-24T03:25:32.830Z,Success,20,20,0,0,null,2026-02-24T03:25:15.775Z,null
BATCH_20260223_040037_17a575,Monthly Databricks Batch - Synexis,2026-02-23T04:00:37.641Z,2026-02-23T04:26:17.948Z,Success,15,15,0,0,null,2026-02-23T04:25:59.805Z,null
BATCH_20260223_030041_008980,Daily Databricks Batch - Synexis,2026-02-23T03:00:41.964Z,2026-02-23T03:18:23.074Z,Success,20,20,0,0,null,2026-02-23T03:18:09.406Z,null
BATCH_20260220_081201_2e97b6,Daily Databricks Batch - Synexis,2026-02-20T08:12:01.223Z,2026-02-20T08:28:56.672Z,Success,20,20,0,0,null,2026-02-20T08:28:40.744Z,null
BATCH_20260220_045554_60c437,Monthly Databricks Batch - Synexis,2026-02-20T04:55:54.598Z,2026-02-20T05:09:45.802Z,Success,9,9,0,0,null,2026-02-20T05:09:27.833Z,null
BATCH_20260220_044853_a1a333,Daily Databricks Batch - Synexis,2026-02-20T04:48:53.573Z,2026-02-20T04:54:17.775Z,Success,5,5,0,0,null,2026-02-20T04:54:05.240Z,null
BATCH_20260220_043249_444edc,Daily Databricks Batch - Synexis,2026-02-20T04:32:49.660Z,2026-02-20T04:42:24.422Z,Failed,9,8,1,0,Layer 'GOLD_TXN' failed: Layer GOLD_TXN (index 1) failed with 1 failed workflows out of 5 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-20T04:42:13.558Z,null
BATCH_20260220_040035_547c05,Monthly Databricks Batch - Synexis,2026-02-20T04:00:35.777Z,2026-02-20T04:12:49.454Z,Failed,15,9,1,0,Layer 'GOLD_TXN1' failed: Layer GOLD_TXN1 (index 2) failed with 1 failed workflows out of 4 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-20T04:12:35.667Z,null
BATCH_20260220_030027_87c5ee,Daily Databricks Batch - Synexis,2026-02-20T03:00:27.913Z,2026-02-20T03:12:05.847Z,Failed,20,14,1,0,Layer 'GOLD_MASTER' failed: Layer GOLD_MASTER (index 2) failed with 1 failed workflows out of 4 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-20T03:11:54.788Z,null
BATCH_20260219_094146_415580,Monthly Databricks Batch - Synexis,2026-02-19T09:41:46.846Z,2026-02-19T10:01:11.475Z,Success,15,15,0,0,null,2026-02-19T10:00:50.039Z,null
BATCH_20260219_093145_db7b2b,Monthly Databricks Batch - Synexis,2026-02-19T09:31:45.736Z,2026-02-19T09:39:01.499Z,Success,5,5,0,0,null,2026-02-19T09:38:30.590Z,null
BATCH_20260219_090633_77c235,Daily Databricks Batch - Synexis,2026-02-19T09:06:33.535Z,2026-02-19T09:23:33.829Z,Success,20,20,0,0,null,2026-02-19T09:23:16.751Z,null
