event_id,event_code,event_message,info_type,error_type,severity,task_execution_id,table_name,column_name,record_payload,error_message,event_time,last_updated_at
434da1bc-f5ab-4f71-8d99-d2f3b2dd2ed2,WARN_REFERENCE_MISMATCH,Reference Warning,Warning,Transformation,High,13d408c4-5fca-4e2c-917e-6751d81bce8e,gold_bill_of_material,"component_name,component_site_value","[{""component_name"": ""437120"", ""component_site_value"": """"}, {""component_name"": ""600403"", ""component_site_value"": ""JAMAICA EXPORTS (PCJ)_J001""}, {""component_name"": ""44004728"", ""component_site_value"": ""IDEALSA_100011805""}, {""component_name"": ""600399"", ""component_site_value"": ""JAMAICA EXPORTS (PCJ)_J001""}]","Reference mismatch (filter=no): 6/357 rows in gold_bill_of_material have no matching records in beliv_prd.synexis.gold_part_master for mapping [('component_name', 'name'), ('component_site_value', 'sitevalue_name')].",2026-02-25T07:14:55.495Z,2026-02-25T13:14:57.977Z
23da8ced-3773-424c-b499-32d7a8521d1f,WARN_REFERENCE_MISMATCH,Reference Warning,Warning,Transformation,High,13d408c4-5fca-4e2c-917e-6751d81bce8e,gold_bill_of_material,"assembly_name,assembly_site_value","[{""assembly_name"": ""BA020437"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA006724"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013129"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013134"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000872"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA017078"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""GM24016"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011680"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013081"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013133"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000798"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011683"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020447"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020436"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000785"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020408"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020409"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA007497"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA021508"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020449"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000879"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000796"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000877"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020430"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005211"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020410"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020432"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA001471"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005212"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA023570"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018684"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005102"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020438"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018686"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005103"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011684"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020431"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011679"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA021506"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018688"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013076"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA019929"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA019934"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA002023"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000786"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018371"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000784"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013080"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA002022"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA001470"", ""assembly_site_value"": ""EP00""}]","Reference mismatch (filter=yes): 53/463 rows in gold_bill_of_material have no matching records in beliv_prd.synexis.gold_part_master for mapping [('assembly_name', 'name'), ('assembly_site_value', 'sitevalue_name')].",2026-02-25T07:14:05.593Z,2026-02-25T13:14:08.004Z
cce079c2-1676-45af-9bbb-57ed888c67a4,WARN_NULL_COST,Null Cost - Warning ,Warning,Transformation,High,f023bb85-ac20-46b6-89e4-9bd417db5730,gold_part_master,stdunitcost,"{""name"": ""BA012540"", ""site_value"": ""30001"", ""sitevalue_name"": ""THE_TESALIA_30001"", ""description"": ""QUINTUPLES UVA 1600 ML PET X 12"", ""type_value"": ""PRODUCTO TERMINADO"", ""buyer_code_value"": ""30001"", ""buyerdescription"": ""THE_TESALIA"", ""abc"": ""CZ"", ""xyz"": ""X"", ""unitofmeasure"": ""CS"", ""safetystockqty"": 30.0, ""stdunitcost"": ""0.0"", ""averagesellingprice"": NaN, ""partclass"": ""PRODUCTO TERMINADO"", ""category"": ""CARBONATADAS"", ""sub_category"": ""CSDS. SABORES"", ""brand"": ""QUINTUPLES"", ""size"": ""1600 ML"", ""container"": ""PET"", ""flavor"": ""UVA"", ""cell"": ""CSDS"", ""business_model"": ""PROFIT_SPLIT"", ""status"": ""Regular"", ""id_producing_plant"": null, ""family"": ""FINISH GOOD""}",Business rule violation: stdunitcost must not be 0. 2389 rows failed in gold_part_master,2026-02-25T06:20:14.031Z,2026-02-25T12:20:16.309Z
ec962509-75e7-4863-9735-a1de7335b586,WARN_REFERENCE_MISMATCH,Reference Warning,Warning,Transformation,High,47f4a587-1b61-41e5-b226-fde2dac87771,gold_bill_of_material,"component_name,component_site_value","[{""component_name"": ""437120"", ""component_site_value"": """"}, {""component_name"": ""600403"", ""component_site_value"": ""JAMAICA EXPORTS (PCJ)_J001""}, {""component_name"": ""44004728"", ""component_site_value"": ""IDEALSA_100011805""}, {""component_name"": ""600399"", ""component_site_value"": ""JAMAICA EXPORTS (PCJ)_J001""}]","Reference mismatch (filter=no): 6/357 rows in gold_bill_of_material have no matching records in beliv_prd.synexis.gold_part_master for mapping [('component_name', 'name'), ('component_site_value', 'sitevalue_name')].",2026-02-24T04:09:26.873Z,2026-02-24T10:09:28.294Z
3f5d6fca-7206-480b-9ef9-fd1373302123,WARN_REFERENCE_MISMATCH,Reference Warning,Warning,Transformation,High,47f4a587-1b61-41e5-b226-fde2dac87771,gold_bill_of_material,"assembly_name,assembly_site_value","[{""assembly_name"": ""BA020437"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA006724"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013129"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013134"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000872"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA017078"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""GM24016"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011680"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013081"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013133"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000798"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011683"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020447"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020436"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000785"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020408"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020409"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA007497"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA021508"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020449"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000879"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000796"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000877"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020430"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005211"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020410"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020432"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA001471"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005212"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA023570"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018684"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005102"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020438"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018686"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005103"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011684"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020431"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011679"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA021506"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018688"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013076"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA019929"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA019934"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA002023"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000786"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018371"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000784"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013080"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA002022"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA001470"", ""assembly_site_value"": ""EP00""}]","Reference mismatch (filter=yes): 53/463 rows in gold_bill_of_material have no matching records in beliv_prd.synexis.gold_part_master for mapping [('assembly_name', 'name'), ('assembly_site_value', 'sitevalue_name')].",2026-02-24T04:09:00.660Z,2026-02-24T10:09:02.370Z
aa7e54ad-785d-403c-8730-997bab50e935,WARN_NULL_COST,Null Cost - Warning ,Warning,Transformation,High,93cbf866-d23e-4d8c-9f6f-0c473f293c90,gold_part_master,stdunitcost,"{""name"": ""BA012540"", ""site_value"": ""30001"", ""sitevalue_name"": ""THE_TESALIA_30001"", ""description"": ""QUINTUPLES UVA 1600 ML PET X 12"", ""type_value"": ""PRODUCTO TERMINADO"", ""buyer_code_value"": ""30001"", ""buyerdescription"": ""THE_TESALIA"", ""abc"": ""CZ"", ""xyz"": ""X"", ""unitofmeasure"": ""CS"", ""safetystockqty"": 30.0, ""stdunitcost"": ""0.0"", ""averagesellingprice"": NaN, ""partclass"": ""PRODUCTO TERMINADO"", ""category"": ""CARBONATADAS"", ""sub_category"": ""CSDS. SABORES"", ""brand"": ""QUINTUPLES"", ""size"": ""1600 ML"", ""container"": ""PET"", ""flavor"": ""UVA"", ""cell"": ""CSDS"", ""business_model"": ""PROFIT_SPLIT"", ""status"": ""Regular"", ""id_producing_plant"": null, ""family"": ""FINISH GOOD""}",Business rule violation: stdunitcost must not be 0. 2389 rows failed in gold_part_master,2026-02-24T03:17:38.800Z,2026-02-24T09:17:40.050Z
4b6a98f8-8205-4855-bc1e-dad57b0c7ce9,WARN_REFERENCE_MISMATCH,Reference Warning,Warning,Transformation,High,35f594b2-f193-4b70-8e7b-682157384170,gold_bill_of_material,"component_name,component_site_value","[{""component_name"": ""437120"", ""component_site_value"": """"}, {""component_name"": ""600403"", ""component_site_value"": ""JAMAICA EXPORTS (PCJ)_J001""}, {""component_name"": ""44004728"", ""component_site_value"": ""IDEALSA_100011805""}, {""component_name"": ""600399"", ""component_site_value"": ""JAMAICA EXPORTS (PCJ)_J001""}]","Reference mismatch (filter=no): 6/357 rows in gold_bill_of_material have no matching records in beliv_prd.synexis.gold_part_master for mapping [('component_name', 'name'), ('component_site_value', 'sitevalue_name')].",2026-02-23T04:15:55.606Z,2026-02-23T10:15:57.373Z
e4c6eeda-ebbe-44c3-a439-17cfab486d56,WARN_REFERENCE_MISMATCH,Reference Warning,Warning,Transformation,High,35f594b2-f193-4b70-8e7b-682157384170,gold_bill_of_material,"assembly_name,assembly_site_value","[{""assembly_name"": ""BA020437"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA006724"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013129"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013134"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000872"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA017078"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""GM24016"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011680"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013081"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013133"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000798"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011683"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020447"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020436"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000785"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020408"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020409"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA007497"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA021508"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020449"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000879"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000796"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000877"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020430"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005211"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020410"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020432"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA001471"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005212"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA023570"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018684"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005102"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020438"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018686"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA005103"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011684"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA020431"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA011679"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA021506"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018688"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013076"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA019929"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA019934"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA002023"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000786"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA018371"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA000784"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA013080"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA002022"", ""assembly_site_value"": ""EP00""}, {""assembly_name"": ""BA001470"", ""assembly_site_value"": ""EP00""}]","Reference mismatch (filter=yes): 53/463 rows in gold_bill_of_material have no matching records in beliv_prd.synexis.gold_part_master for mapping [('assembly_name', 'name'), ('assembly_site_value', 'sitevalue_name')].",2026-02-23T04:15:17.723Z,2026-02-23T10:15:19.776Z
22048215-72e8-446b-b144-1365477061ff,WARN_NULL_COST,Null Cost - Warning ,Warning,Transformation,High,eabb38ca-bb56-40da-846a-76c40e36b631,gold_part_master,stdunitcost,"{""name"": ""BA012540"", ""site_value"": ""30001"", ""sitevalue_name"": ""THE_TESALIA_30001"", ""description"": ""QUINTUPLES UVA 1600 ML PET X 12"", ""type_value"": ""PRODUCTO TERMINADO"", ""buyer_code_value"": ""30001"", ""buyerdescription"": ""THE_TESALIA"", ""abc"": ""CZ"", ""xyz"": ""X"", ""unitofmeasure"": ""CS"", ""safetystockqty"": 30.0, ""stdunitcost"": ""0.0"", ""averagesellingprice"": NaN, ""partclass"": ""PRODUCTO TERMINADO"", ""category"": ""CARBONATADAS"", ""sub_category"": ""CSDS. SABORES"", ""brand"": ""QUINTUPLES"", ""size"": ""1600 ML"", ""container"": ""PET"", ""flavor"": ""UVA"", ""cell"": ""CSDS"", ""business_model"": ""PROFIT_SPLIT"", ""status"": ""Regular"", ""id_producing_plant"": null, ""family"": ""FINISH GOOD""}",Business rule violation: stdunitcost must not be 0. 2388 rows failed in gold_part_master,2026-02-23T03:09:55.241Z,2026-02-23T09:09:56.714Z
9b202335-2371-49fe-85ef-8dfcc5a1188b,ERR_TRANSFORM,Transformation Error,Error,Transform,High,3cad38ce-178f-4d24-b6e6-abdd94bc979d,beliv_prd.synexis.silver_masterplan_procurement,*,{},'NoneType' object has no attribute 'filter',2026-02-21T08:03:07.888Z,2026-02-21T14:03:09.788Z
