batch_id,batch_name,triggered_by,start_time,end_time,status,total_files,successful_files,failed_files,inserted_at,last_updated_at,comments,skip_files
BATCH_20260226_050026_66fc48,Daily Ingestion - Synexis,Azure Function,2026-02-26T05:00:26.795Z,2026-02-26T05:01:35.813Z,success,10,10,0,2026-02-26T05:00:26.795Z,2026-02-26T05:01:35.813Z,null,0
BATCH_20260225_050047_21578e,Daily Ingestion - Synexis,Azure Function,2026-02-25T05:00:47.350Z,2026-02-25T05:02:04.292Z,success,10,10,0,2026-02-25T05:00:47.350Z,2026-02-25T05:02:04.292Z,null,0
BATCH_20260224_020045_76178a,Daily Ingestion - Synexis,Azure Function,2026-02-24T02:00:45.146Z,2026-02-24T02:02:08.355Z,success,10,10,0,2026-02-24T02:00:45.146Z,2026-02-24T02:02:08.355Z,null,0
BATCH_20260223_020042_d8edf9,Daily Ingestion - Synexis,Azure Function,2026-02-23T02:00:42.970Z,2026-02-23T02:02:01.298Z,success,10,10,0,2026-02-23T02:00:42.970Z,2026-02-23T02:02:01.298Z,null,0
BATCH_20260221_080419_4b6270,Daily Ingestion - Synexis,Azure Function,2026-02-21T08:04:19.492Z,2026-02-21T08:05:37.397Z,success,10,10,0,2026-02-21T08:04:19.492Z,2026-02-21T08:05:37.397Z,null,0
BATCH_20260220_020032_90127d,Daily Ingestion - Synexis,Azure Function,2026-02-20T02:00:32.870Z,2026-02-20T02:01:47.544Z,success,10,10,0,2026-02-20T02:00:32.870Z,2026-02-20T02:01:47.544Z,null,0
BATCH_20260219_083540_21e108,Daily Ingestion - Synexis,Azure Function,2026-02-19T08:35:40.097Z,2026-02-19T08:36:37.305Z,success,10,10,0,2026-02-19T08:35:40.097Z,2026-02-19T08:36:37.305Z,null,0
BATCH_20260219_020041_b2fbea,Daily Ingestion - Synexis,Azure Function,2026-02-19T02:00:41.747Z,2026-02-19T02:02:04.204Z,success,10,10,0,2026-02-19T02:00:41.747Z,2026-02-19T02:02:04.204Z,null,0
BATCH_20260218_235727_a38bac,Daily Ingestion - Synexis,Azure Function,2026-02-18T23:57:27.784Z,2026-02-18T23:58:52.298Z,success,10,10,0,2026-02-18T23:57:27.784Z,2026-02-18T23:58:52.298Z,null,0
BATCH_20260218_020046_f09ad7,Daily Ingestion - Synexis,Azure Function,2026-02-18T02:00:46.336Z,2026-02-18T02:02:15.104Z,success,10,10,0,2026-02-18T02:00:46.336Z,2026-02-18T02:02:15.104Z,null,0
BATCH_20260217_164755_55a6b4,Daily Ingestion - Synexis,Azure Function,2026-02-17T16:47:55.745Z,2026-02-17T16:48:52.218Z,success,10,10,0,2026-02-17T16:47:55.745Z,2026-02-17T16:48:52.218Z,null,0
BATCH_20260217_020033_c023e3,Daily Ingestion - Synexis,Azure Function,2026-02-17T02:00:33.718Z,2026-02-17T02:01:52.862Z,success,10,10,0,2026-02-17T02:00:33.718Z,2026-02-17T02:01:52.862Z,null,0
BATCH_20260216_020033_8c8d38,Daily Ingestion - Synexis,Azure Function,2026-02-16T02:00:33.893Z,2026-02-16T02:01:37.013Z,success,10,10,0,2026-02-16T02:00:33.893Z,2026-02-16T02:01:37.013Z,null,0
BATCH_20260213_020040_cb2205,Daily Ingestion - Synexis,Azure Function,2026-02-13T02:00:40.265Z,2026-02-13T02:01:46.661Z,success,10,10,0,2026-02-13T02:00:40.265Z,2026-02-13T02:01:46.661Z,null,0
BATCH_20260212_020035_7eb9cd,Daily Ingestion - Synexis,Azure Function,2026-02-12T02:00:35.680Z,2026-02-12T02:01:56.618Z,success,10,10,0,2026-02-12T02:00:35.680Z,2026-02-12T02:01:56.618Z,null,0
BATCH_20260212_002741_9b6ee3,Daily Ingestion - Synexis,Azure Function,2026-02-12T00:27:41.550Z,2026-02-12T00:28:38.703Z,success,10,10,0,2026-02-12T00:27:41.550Z,2026-02-12T00:28:38.703Z,null,0
BATCH_20260211_234821_609a8e,Daily Ingestion - Synexis,Azure Function,2026-02-11T23:48:21.407Z,2026-02-11T23:49:19.576Z,success,10,10,0,2026-02-11T23:48:21.407Z,2026-02-11T23:49:19.576Z,null,0
BATCH_20260211_234328_9532f4,Daily Ingestion - Synexis,Azure Function,2026-02-11T23:43:28.707Z,2026-02-11T23:44:36.740Z,success,10,10,0,2026-02-11T23:43:28.707Z,2026-02-11T23:44:36.740Z,null,0
BATCH_20260211_020037_6df1f7,Daily Ingestion - Synexis,Azure Function,2026-02-11T02:00:37.177Z,2026-02-11T02:02:04.705Z,success,10,10,0,2026-02-11T02:00:37.177Z,2026-02-11T02:02:04.705Z,null,0
BATCH_20260210_020041_33d118,Daily Ingestion - Synexis,Azure Function,2026-02-10T02:00:41.709Z,2026-02-10T02:02:03.773Z,success,10,10,0,2026-02-10T02:00:41.709Z,2026-02-10T02:02:03.773Z,null,0
BATCH_20260209_020035_3d8704,Daily Ingestion - Synexis,Azure Function,2026-02-09T02:00:35.035Z,2026-02-09T02:01:43.395Z,success,10,10,0,2026-02-09T02:00:35.035Z,2026-02-09T02:01:43.395Z,null,0
BATCH_20260206_020025_8cebe3,Daily Ingestion - Synexis,Azure Function,2026-02-06T02:00:25.427Z,2026-02-06T02:01:49.068Z,success,10,10,0,2026-02-06T02:00:25.427Z,2026-02-06T02:01:49.068Z,null,0
BATCH_20260205_020042_1f29f1,Daily Ingestion - Synexis,Azure Function,2026-02-05T02:00:42.524Z,2026-02-05T02:01:54.912Z,success,10,10,0,2026-02-05T02:00:42.524Z,2026-02-05T02:01:54.912Z,null,0
BATCH_20260204_020028_3a314b,Daily Ingestion - Synexis,Azure Function,2026-02-04T02:00:28.381Z,2026-02-04T02:01:43.956Z,success,10,10,0,2026-02-04T02:00:28.381Z,2026-02-04T02:01:43.956Z,null,0
BATCH_20260203_020045_5fc8bd,Daily Ingestion - Synexis,Azure Function,2026-02-03T02:00:45.158Z,2026-02-03T02:01:59.366Z,success,10,10,0,2026-02-03T02:00:45.158Z,2026-02-03T02:01:59.366Z,null,0
BATCH_20260202_025902_07e154,Daily Ingestion - Synexis,Azure Function,2026-02-02T02:59:02.990Z,2026-02-02T03:00:35.715Z,success,10,10,0,2026-02-02T02:59:02.990Z,2026-02-02T03:00:35.715Z,null,0
BATCH_20260130_020027_459fa4,Daily Ingestion - Synexis,Azure Function,2026-01-30T02:00:27.554Z,2026-01-30T02:01:52.850Z,success,10,10,0,2026-01-30T02:00:27.554Z,2026-01-30T02:01:52.850Z,null,0
BATCH_20260129_020032_6a15ee,Daily Ingestion - Synexis,Azure Function,2026-01-29T02:00:32.619Z,2026-01-29T02:01:45.272Z,success,10,10,0,2026-01-29T02:00:32.619Z,2026-01-29T02:01:45.272Z,null,0
BATCH_20260128_212958_98e8e8,Daily Ingestion - Synexis,Azure Function,2026-01-28T21:29:58.780Z,2026-01-28T21:31:09.409Z,success,10,10,0,2026-01-28T21:29:58.780Z,2026-01-28T21:31:09.409Z,null,0
BATCH_20260127_230027_6ea3a7,Daily Ingestion - Synexis,Azure Function,2026-01-27T23:00:27.335Z,2026-01-27T23:01:39.267Z,success,10,10,0,2026-01-27T23:00:27.335Z,2026-01-27T23:01:39.267Z,null,0
BATCH_20260127_000142_5744f7,Daily Ingestion - Synexis,Azure Function,2026-01-27T00:01:42.759Z,2026-01-27T00:02:31.805Z,success,10,10,0,2026-01-27T00:01:42.759Z,2026-01-27T00:02:31.805Z,null,0
BATCH_20260126_235106_19fb07,Daily Ingestion - Synexis,Azure Function,2026-01-26T23:51:06.965Z,2026-01-26T23:52:08.638Z,success,10,10,0,2026-01-26T23:51:06.965Z,2026-01-26T23:52:08.638Z,null,0
BATCH_20260126_230031_7ce5d1,Daily Ingestion - Synexis,Azure Function,2026-01-26T23:00:31.141Z,2026-01-26T23:01:55.172Z,success,10,10,0,2026-01-26T23:00:31.141Z,2026-01-26T23:01:55.172Z,null,0
BATCH_20260125_230049_fcfd88,Daily Ingestion - Synexis,Azure Function,2026-01-25T23:00:49.506Z,2026-01-25T23:01:57.964Z,success,10,10,0,2026-01-25T23:00:49.506Z,2026-01-25T23:01:57.964Z,null,0
BATCH_20260123_020024_68ee4c,Daily Ingestion - Synexis,Azure Function,2026-01-23T02:00:24.456Z,2026-01-23T02:01:14.292Z,success,10,10,0,2026-01-23T02:00:24.456Z,2026-01-23T02:01:14.292Z,null,0
BATCH_20260122_020037_cafc2a,Daily Ingestion - Synexis,Azure Function,2026-01-22T02:00:37.854Z,2026-01-22T02:01:51.261Z,success,10,10,0,2026-01-22T02:00:37.854Z,2026-01-22T02:01:51.261Z,null,0
BATCH_20260121_020032_af01c6,Daily Ingestion - Synexis,Azure Function,2026-01-21T02:00:32.137Z,2026-01-21T02:01:44.438Z,success,10,10,0,2026-01-21T02:00:32.137Z,2026-01-21T02:01:44.438Z,null,0
BATCH_20260121_012326_5ae127,Daily Ingestion - Synexis,Azure Function,2026-01-21T01:23:26.217Z,2026-01-21T01:24:18.811Z,success,10,10,0,2026-01-21T01:23:26.217Z,2026-01-21T01:24:18.811Z,null,0
BATCH_20260120_020041_f2e358,Daily Ingestion - Synexis,Azure Function,2026-01-20T02:00:41.453Z,2026-01-20T02:01:32.756Z,success,10,10,0,2026-01-20T02:00:41.453Z,2026-01-20T02:01:32.756Z,null,0
BATCH_20260119_020021_4a3e53,Daily Ingestion - Synexis,Azure Function,2026-01-19T02:00:21.980Z,2026-01-19T02:01:35.102Z,success,10,10,0,2026-01-19T02:00:21.980Z,2026-01-19T02:01:35.102Z,null,0
BATCH_20260119_010659_689980,Daily Ingestion - Synexis,Azure Function,2026-01-19T01:06:59.014Z,2026-01-19T01:07:50.455Z,success,10,10,0,2026-01-19T01:06:59.014Z,2026-01-19T01:07:50.455Z,null,0
BATCH_20260118_020045_f5d67e,Daily Ingestion - Synexis,Azure Function,2026-01-18T02:00:45.313Z,2026-01-18T02:02:02.393Z,success,10,10,0,2026-01-18T02:00:45.313Z,2026-01-18T02:02:02.393Z,null,0
BATCH_20260117_020032_6f58dd,Daily Ingestion - Synexis,Azure Function,2026-01-17T02:00:32.884Z,2026-01-17T02:01:58.298Z,success,10,10,0,2026-01-17T02:00:32.884Z,2026-01-17T02:01:58.298Z,null,0
BATCH_20260116_020031_8d889d,Daily Ingestion - Synexis,Azure Function,2026-01-16T02:00:31.110Z,2026-01-16T02:01:55.446Z,success,10,10,0,2026-01-16T02:00:31.110Z,2026-01-16T02:01:55.446Z,null,0
BATCH_20260115_020035_734e85,Daily Ingestion - Synexis,Azure Function,2026-01-15T02:00:35.023Z,2026-01-15T02:01:44.904Z,success,10,10,0,2026-01-15T02:00:35.023Z,2026-01-15T02:01:44.904Z,null,0
BATCH_20260114_020023_6b79e5,Daily Ingestion - Synexis,Azure Function,2026-01-14T02:00:23.927Z,2026-01-14T02:01:32.003Z,success,10,10,0,2026-01-14T02:00:23.927Z,2026-01-14T02:01:32.003Z,null,0
BATCH_20260113_020013_831e6a,Daily Ingestion - Synexis,Azure Function,2026-01-13T02:00:13.791Z,2026-01-13T02:00:43.646Z,success,10,10,0,2026-01-13T02:00:13.791Z,2026-01-13T02:00:43.646Z,null,0
BATCH_20260113_014320_f6d22f,Daily Ingestion - Synexis,Azure Function,2026-01-13T01:43:20.698Z,2026-01-13T01:44:13.091Z,success,10,10,0,2026-01-13T01:43:20.698Z,2026-01-13T01:44:13.091Z,null,0
BATCH_20260112_124000_2e13a7,Daily Ingestion - Synexis,Azure Function,2026-01-12T12:40:00.447Z,2026-01-12T12:40:26.094Z,success,10,10,0,2026-01-12T12:40:00.447Z,2026-01-12T12:40:26.094Z,null,0
BATCH_20260112_020024_947bd7,Daily Ingestion - Synexis,Azure Function,2026-01-12T02:00:24.310Z,2026-01-12T02:01:44.496Z,success,10,10,0,2026-01-12T02:00:24.310Z,2026-01-12T02:01:44.496Z,null,0
BATCH_20260112_010051_a3455f,Daily Ingestion - Synexis,Azure Function,2026-01-12T01:00:51.074Z,2026-01-12T01:02:07.683Z,success,10,10,0,2026-01-12T01:00:51.074Z,2026-01-12T01:02:07.683Z,null,0
BATCH_20260111_020034_964294,Daily Ingestion - Synexis,Azure Function,2026-01-11T02:00:34.543Z,2026-01-11T02:01:50.424Z,success,10,10,0,2026-01-11T02:00:34.543Z,2026-01-11T02:01:50.424Z,null,0
BATCH_20260110_143641_23c3b1,Daily Ingestion - Synexis,Azure Function,2026-01-10T14:36:41.738Z,2026-01-10T14:37:40.285Z,success,10,10,0,2026-01-10T14:36:41.738Z,2026-01-10T14:37:40.285Z,null,0
BATCH_20260110_020035_c63fcb,Daily Ingestion - Synexis,Azure Function,2026-01-10T02:00:35.548Z,2026-01-10T02:01:51.420Z,success,10,10,0,2026-01-10T02:00:35.548Z,2026-01-10T02:01:51.420Z,null,0
BATCH_20260109_052856_fc5080,Daily Ingestion - Synexis,Azure Function,2026-01-09T05:28:56.872Z,null,Running,10,-1,-1,2026-01-09T05:28:56.872Z,2026-01-09T05:28:56.872Z,null,-1
BATCH_20260109_020008_b64a28,Daily Ingestion - Synexis,Azure Function,2026-01-09T02:00:08.403Z,2026-01-09T02:00:47.919Z,success,10,10,0,2026-01-09T02:00:08.403Z,2026-01-09T02:00:47.919Z,null,0
BATCH_20260109_003047_7334cc,Daily Ingestion - Synexis,Azure Function,2026-01-09T00:30:47.157Z,2026-01-09T00:31:55.615Z,success,10,10,0,2026-01-09T00:30:47.157Z,2026-01-09T00:31:55.615Z,null,0
BATCH_20260108_132611_f0d42f,Daily Ingestion - Synexis,Azure Function,2026-01-08T13:26:11.422Z,2026-01-08T13:26:44.062Z,success,10,10,0,2026-01-08T13:26:11.422Z,2026-01-08T13:26:44.062Z,null,0
