batch_id,execution_id,config_id,file_name,file_path,source_type,ingestion_date,status,ingestion_start,ingestion_end,error_message,last_updated_at,records_ingested,triggered_by,comments
BATCH_20260226_050026_66fc48,EXEC_13_20260226_050121_75a2d5,13,00. Calendar Holidays.xlsx,/sites/BelivData/Shared Documents/Supply/10.Calendar/00. Calendar Holidays.xlsx,SharePoint,2026-02-26,success,2026-02-26T05:01:21.513Z,2026-02-26T05:01:26.063Z,,2026-02-26T05:01:26.063Z,0,system,Ingested from SharePoint
BATCH_20260226_050026_66fc48,EXEC_8_20260226_050120_379a0f,8,ScheduledReceiptRequisition PT.xlsx,/sites/BelivData/Shared Documents/Supply/11.ReceiptRequisition/ScheduledReceiptRequisition PT.xlsx,SharePoint,2026-02-26,success,2026-02-26T05:01:20.999Z,2026-02-26T05:01:25.867Z,,2026-02-26T05:01:25.867Z,0,system,Ingested from SharePoint
BATCH_20260226_050026_66fc48,EXEC_14_20260226_050119_97f2fe,14,calendar_by_site.xlsx,/sites/BelivData/Shared Documents/Supply/10.Calendar/calendar_by_site.xlsx,SharePoint,2026-02-26,success,2026-02-26T05:01:19.919Z,2026-02-26T05:01:23.667Z,,2026-02-26T05:01:23.667Z,0,system,Ingested from SharePoint
BATCH_20260226_050026_66fc48,EXEC_9_20260226_050117_72f696,9,Masterplanprocurement.xlsx,/sites/BelivData/Shared Documents/Supply/8.Procurement/Masterplanprocurement.xlsx,SharePoint,2026-02-26,success,2026-02-26T05:01:17.696Z,2026-02-26T05:01:21.689Z,,2026-02-26T05:01:21.689Z,0,system,Ingested from SharePoint
BATCH_20260226_050026_66fc48,EXEC_7_20260226_050114_4ab524,7,sku_producing-plant.xlsx,/sites/BelivData/Shared Documents/Supply/11.ReceiptRequisition/sku_producing-plant.xlsx,SharePoint,2026-02-26,success,2026-02-26T05:01:14.265Z,2026-02-26T05:01:16.638Z,,2026-02-26T05:01:16.638Z,0,system,Ingested from SharePoint
BATCH_20260226_050026_66fc48,EXEC_12_20260226_050106_fdd0a4,12,Initial Inventory - Bill Of Material.xlsx,/sites/BelivData/Shared Documents/Supply/7.BillOfMaterials/Initial Inventory - Bill Of Material.xlsx,SharePoint,2026-02-26,success,2026-02-26T05:01:06.544Z,2026-02-26T05:01:09.038Z,,2026-02-26T05:01:09.038Z,0,system,Ingested from SharePoint
BATCH_20260226_050026_66fc48,EXEC_9_20260226_050039_530490,9,Masterplanprocurement.xlsx,/sites/BelivData/Shared Documents/Supply/8.Procurement/Masterplanprocurement.xlsx,SharePoint,2026-02-26,failed,2026-02-26T05:00:39.517Z,2026-02-26T05:01:00.429Z,"[DELTA_CONCURRENT_APPEND] ConcurrentAppendException: Files were added to the root of the table by a concurrent update. Please try the operation again.
Conflicting commit: {""timestamp"":1772103657415,""userId"":""488932038608523"",""userName"":""nsira@be-liv-externos.com"",""operation"":""UPDATE"",""operationParameters"":{""predicate"":""[\""(execution_id#31336 = EXEC_11_20260226_050039_4cfdfe)\""]""},""readVersion"":20227,""isolationLevel"":""WriteSerializable"",""isBlindAppend"":false,""operationMetrics"":{""numRemovedFiles"":""1"",""numRemovedBytes"":""7790"",""numCopiedRows"":""0"",""numDeletionVectorsAdded"":""0"",""executionTimeMs"":""1578"",""numDeletionVectorsUpdated"":""0"",""scanTimeMs"":""466"",""numAddedFiles"":""1"",""numUpdatedRows"":""1"",""numDeletionVectorsRemoved"":""0"",""numAddedChangeFiles"":""0"",""numAddedBytes"":""7897"",""rewriteTimeMs"":""1111""},""tags"":{""noRowsCopied"":""false"",""delta.rowTracking.preserved"":""false"",""restoresDeletedRows"":""false""},""engineInfo"":""Databricks-Runtime/17.3.x-aarch64-photon-scala2.13"",""txnId"":""9fc62b33-d5e4-476e-9ff8-ed1b5fd21ad1""}
Refer to https://docs.microsoft.com/azure/databricks/delta/concurrency-control for more details.",2026-02-26T05:01:00.429Z,0,system,Ingested from SharePoint
BATCH_20260226_050026_66fc48,EXEC_7_20260226_050042_fdffa3,7,sku_producing-plant.xlsx,/sites/BelivData/Shared Documents/Supply/11.ReceiptRequisition/sku_producing-plant.xlsx,SharePoint,2026-02-26,failed,2026-02-26T05:00:42.390Z,2026-02-26T05:01:00.343Z,"[DELTA_CONCURRENT_APPEND] ConcurrentAppendException: Files were added to the root of the table by a concurrent update. Please try the operation again.
Conflicting commit: {""timestamp"":1772103657415,""userId"":""488932038608523"",""userName"":""nsira@be-liv-externos.com"",""operation"":""UPDATE"",""operationParameters"":{""predicate"":""[\""(execution_id#31336 = EXEC_11_20260226_050039_4cfdfe)\""]""},""readVersion"":20227,""isolationLevel"":""WriteSerializable"",""isBlindAppend"":false,""operationMetrics"":{""numRemovedFiles"":""1"",""numRemovedBytes"":""7790"",""numCopiedRows"":""0"",""numDeletionVectorsAdded"":""0"",""executionTimeMs"":""1578"",""numDeletionVectorsUpdated"":""0"",""scanTimeMs"":""466"",""numAddedFiles"":""1"",""numUpdatedRows"":""1"",""numDeletionVectorsRemoved"":""0"",""numAddedChangeFiles"":""0"",""numAddedBytes"":""7897"",""rewriteTimeMs"":""1111""},""tags"":{""noRowsCopied"":""false"",""delta.rowTracking.preserved"":""false"",""restoresDeletedRows"":""false""},""engineInfo"":""Databricks-Runtime/17.3.x-aarch64-photon-scala2.13"",""txnId"":""9fc62b33-d5e4-476e-9ff8-ed1b5fd21ad1""}
Refer to https://docs.microsoft.com/azure/databricks/delta/concurrency-control for more details.",2026-02-26T05:01:00.343Z,0,system,Ingested from SharePoint
BATCH_20260226_050026_66fc48,EXEC_14_20260226_050039_778a0e,14,calendar_by_site.xlsx,/sites/BelivData/Shared Documents/Supply/10.Calendar/calendar_by_site.xlsx,SharePoint,2026-02-26,failed,2026-02-26T05:00:39.938Z,2026-02-26T05:00:59.327Z,"[DELTA_CONCURRENT_APPEND] ConcurrentAppendException: Files were added to the root of the table by a concurrent update. Please try the operation again.
Conflicting commit: {""timestamp"":1772103657415,""userId"":""488932038608523"",""userName"":""nsira@be-liv-externos.com"",""operation"":""UPDATE"",""operationParameters"":{""predicate"":""[\""(execution_id#31336 = EXEC_11_20260226_050039_4cfdfe)\""]""},""readVersion"":20227,""isolationLevel"":""WriteSerializable"",""isBlindAppend"":false,""operationMetrics"":{""numRemovedFiles"":""1"",""numRemovedBytes"":""7790"",""numCopiedRows"":""0"",""numDeletionVectorsAdded"":""0"",""executionTimeMs"":""1578"",""numDeletionVectorsUpdated"":""0"",""scanTimeMs"":""466"",""numAddedFiles"":""1"",""numUpdatedRows"":""1"",""numDeletionVectorsRemoved"":""0"",""numAddedChangeFiles"":""0"",""numAddedBytes"":""7897"",""rewriteTimeMs"":""1111""},""tags"":{""noRowsCopied"":""false"",""delta.rowTracking.preserved"":""false"",""restoresDeletedRows"":""false""},""engineInfo"":""Databricks-Runtime/17.3.x-aarch64-photon-scala2.13"",""txnId"":""9fc62b33-d5e4-476e-9ff8-ed1b5fd21ad1""}
Refer to https://docs.microsoft.com/azure/databricks/delta/concurrency-control for more details.",2026-02-26T05:00:59.327Z,0,system,Ingested from SharePoint
BATCH_20260226_050026_66fc48,EXEC_12_20260226_050039_71066d,12,Initial Inventory - Bill Of Material.xlsx,/sites/BelivData/Shared Documents/Supply/7.BillOfMaterials/Initial Inventory - Bill Of Material.xlsx,SharePoint,2026-02-26,failed,2026-02-26T05:00:39.805Z,2026-02-26T05:00:58.388Z,"[DELTA_CONCURRENT_APPEND] ConcurrentAppendException: Files were added to the root of the table by a concurrent update. Please try the operation again.
Conflicting commit: {""timestamp"":1772103657415,""userId"":""488932038608523"",""userName"":""nsira@be-liv-externos.com"",""operation"":""UPDATE"",""operationParameters"":{""predicate"":""[\""(execution_id#31336 = EXEC_11_20260226_050039_4cfdfe)\""]""},""readVersion"":20227,""isolationLevel"":""WriteSerializable"",""isBlindAppend"":false,""operationMetrics"":{""numRemovedFiles"":""1"",""numRemovedBytes"":""7790"",""numCopiedRows"":""0"",""numDeletionVectorsAdded"":""0"",""executionTimeMs"":""1578"",""numDeletionVectorsUpdated"":""0"",""scanTimeMs"":""466"",""numAddedFiles"":""1"",""numUpdatedRows"":""1"",""numDeletionVectorsRemoved"":""0"",""numAddedChangeFiles"":""0"",""numAddedBytes"":""7897"",""rewriteTimeMs"":""1111""},""tags"":{""noRowsCopied"":""false"",""delta.rowTracking.preserved"":""false"",""restoresDeletedRows"":""false""},""engineInfo"":""Databricks-Runtime/17.3.x-aarch64-photon-scala2.13"",""txnId"":""9fc62b33-d5e4-476e-9ff8-ed1b5fd21ad1""}
Refer to https://docs.microsoft.com/azure/databricks/delta/concurrency-control for more details.",2026-02-26T05:00:58.388Z,0,system,Ingested from SharePoint
