assembly_name,assembly_site_value,component_name,component_site_value,EffectiveInDate,EffectiveOutDate,quantityper,scrap,safety_stock,initial_inventory,integration_id,record_key_hash,batch_id,execution_id,create_timestamp,last_updated_timestamp
BA011679,TESALIA_400000105,426214,TESALIA_400000105,18050101,99991202,0.00028399999999999996,1,45,0,437b46b49cfb1484630bcbe6309b2f5c8ef8d4220920f64603321eeb7118338c,437b46b49cfb1484630bcbe6309b2f5c8ef8d4220920f64603321eeb7118338c,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
F2250002,PERU_RP04,437124,PERU_RP04,18150101,99991202,0.0001534137058080002,1,45,0,a84c7cb527ba674ec502d25c4dbed22466fc3dcb9f49e240156c4565395eb6f7,a84c7cb527ba674ec502d25c4dbed22466fc3dcb9f49e240156c4565395eb6f7,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA014420,PERU_RP04,436610,PERU_RP04,18150101,99991202,0.0006186130647839992,1,45,0,4ccd2853cad4cce882e72eb44c6faaf96feebfa8277f4bfd3ba9cfcc46302bcc,4ccd2853cad4cce882e72eb44c6faaf96feebfa8277f4bfd3ba9cfcc46302bcc,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
GM24016,TESALIA_400000105,426213,TESALIA_400000105,18050101,99991202,0.0006,1,45,0,930a5022d2bf265ae9f179dd22f5310c610a5721132a1df0ccbbc243736301c9,930a5022d2bf265ae9f179dd22f5310c610a5721132a1df0ccbbc243736301c9,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA021184,PERU_RP04,436579,PERU_RP04,18150101,99991202,0.00045540033512430543,1,45,0,87975eb2dddb1e3e0c0b1887ebb23c16d38f264ff9a363a0193810fb4e4d1c89,87975eb2dddb1e3e0c0b1887ebb23c16d38f264ff9a363a0193810fb4e4d1c89,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA023570,TESALIA_400000105,426213,TESALIA_400000105,18050101,99991202,0.0005,1,45,0,9bca7bd3649e80409f36cd555509deb12e90f2c2a41ae12050f86ec122960cdf,9bca7bd3649e80409f36cd555509deb12e90f2c2a41ae12050f86ec122960cdf,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA011680,TESALIA_400000105,426214,TESALIA_400000105,18050101,99991202,0.00028399999999999996,1,45,0,023b4d064e352cc9eb57ed30f54c5e6c4d41123bb85dcf00956e694ed7231171,023b4d064e352cc9eb57ed30f54c5e6c4d41123bb85dcf00956e694ed7231171,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA021184,PERU_RP04,436578,PERU_RP04,18150101,99991202,0.0002974101272999996,1,45,0,ea2f49cdd293fe462cf1ce133a8b77c4765d5919679d1e3c1e1ff45cbb4d3932,ea2f49cdd293fe462cf1ce133a8b77c4765d5919679d1e3c1e1ff45cbb4d3932,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
F2250002,PERU_RP04,437099,PERU_RP04,18150101,99991202,0.0004555005284016001,1,45,0,201ec0e2e9747019640a2542acf74f2105c93a1930d3e6132b7236bbb00f43a5,201ec0e2e9747019640a2542acf74f2105c93a1930d3e6132b7236bbb00f43a5,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA001471,TESALIA_400000105,427336,TESALIA_400000105,18050101,99991202,0.001,1,45,0,08c55b5f9fb4ce6166bda69877763f7345a687230c63846d72343ecb409958e2,08c55b5f9fb4ce6166bda69877763f7345a687230c63846d72343ecb409958e2,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
AA685006,MARIPOSA_GP00,420011,MARIPOSA_GP00,18020101,99991202,0.0012482419127988747,1,45,0,3a0b58e5d10fbc63518031ebb5b229bbd0e2d6f6fe011ae82ebbdf52c21b4b07,3a0b58e5d10fbc63518031ebb5b229bbd0e2d6f6fe011ae82ebbdf52c21b4b07,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
AOP26005,MARIPOSA_GP00,420011,MARIPOSA_GP00,18020101,99991202,0.0029301453352086264,1,45,0,d90961d96a1b7019c784b7d7810099c1614bbfed0bf791ed603cbcdd35dc6636,d90961d96a1b7019c784b7d7810099c1614bbfed0bf791ed603cbcdd35dc6636,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA011684,TESALIA_400000105,426213,TESALIA_400000105,18050101,99991202,0.00028399999999999996,1,45,0,2ea431e2adc67746bc5b3b4f43f1fdb2968bfb5c64518d9b789252edcec1da10,2ea431e2adc67746bc5b3b4f43f1fdb2968bfb5c64518d9b789252edcec1da10,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA020431,TESALIA_400000105,426214,TESALIA_400000105,18050101,99991202,0.0008,1,45,0,25df48fb490c9ee130bb2e0cdbaadd3b88c8666ddb26a6b6e9e34693f77daa85,25df48fb490c9ee130bb2e0cdbaadd3b88c8666ddb26a6b6e9e34693f77daa85,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA018684,TESALIA_400000105,427336,TESALIA_400000105,18050101,99991202,0.00030000000000000003,1,45,0,30a964ca5b7c8b5288209e3eed867e206835527cb3729018cf2b0278de647456,30a964ca5b7c8b5288209e3eed867e206835527cb3729018cf2b0278de647456,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA013076,TESALIA_400000105,427336,TESALIA_400000105,18050101,99991202,0.001,1,45,0,bebb6ce6063687261f5ed456905a73068c7f37b684769f6c9e8fea0fe6307fe2,bebb6ce6063687261f5ed456905a73068c7f37b684769f6c9e8fea0fe6307fe2,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA018688,TESALIA_400000105,426213,TESALIA_400000105,18050101,99991202,0.00024,1,45,0,a147c6b849d2d0bcc70ac2238347a20959f1155fe3c2161525b54dc11859cf0f,a147c6b849d2d0bcc70ac2238347a20959f1155fe3c2161525b54dc11859cf0f,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA020410,TESALIA_400000105,426213,TESALIA_400000105,18050101,99991202,0.0008,1,45,0,e28eb6992aa63d57697d5a5b344547cb0167b97af3162184db3241b4d4fd29cd,e28eb6992aa63d57697d5a5b344547cb0167b97af3162184db3241b4d4fd29cd,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
AA781389,JAMAICA EXPORTS (PCJ)_J001,421573,JAMAICA EXPORTS (PCJ)_J001,18010101,99991202,0.0028428075892605637,1,45,0,20142f8fc7afa9361f2b57b307bd19533d7651ea863b66d7d4fb16441c1aa9dd,20142f8fc7afa9361f2b57b307bd19533d7651ea863b66d7d4fb16441c1aa9dd,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA017078,TESALIA_400000105,426213,TESALIA_400000105,18050101,99991202,0.00028399999999999996,1,45,0,1eabc9c09609e456ff121605b5a7d1357edfd188701c5be8c08a90b2f9e8788c,1eabc9c09609e456ff121605b5a7d1357edfd188701c5be8c08a90b2f9e8788c,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA014420,PERU_RP04,437098,PERU_RP04,18150101,99991202,0.0010992278305007987,1,45,0,07a4a4373ad6d98d0d46289c18ec81c118dc672aea4380e6df6120a97255e210,07a4a4373ad6d98d0d46289c18ec81c118dc672aea4380e6df6120a97255e210,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA005211,TESALIA_400000105,426213,TESALIA_400000105,18050101,99991202,0.00028399999999999996,1,45,0,f3fbd8977b0e8abf45591e9aac4982ee062500ffaea3ac5d41e12b9fae7264db,f3fbd8977b0e8abf45591e9aac4982ee062500ffaea3ac5d41e12b9fae7264db,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA021184,PERU_RP04,436106,PERU_RP04,18150101,99991202,0.00020295267086951974,1,45,0,fbcfc452a5ee64ab24860fbd95b53772aa9c994b7ee876602188e81f574a68c3,fbcfc452a5ee64ab24860fbd95b53772aa9c994b7ee876602188e81f574a68c3,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA000796,TESALIA_400000105,426214,TESALIA_400000105,18050101,99991202,0.0008,1,45,0,6e3fd73c44bc8421824f371cb1c3a3399fbff95ff975cff70d3309f2fe191ec6,6e3fd73c44bc8421824f371cb1c3a3399fbff95ff975cff70d3309f2fe191ec6,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA013080,TESALIA_400000105,426213,TESALIA_400000105,18050101,99991202,0.0008,1,45,0,9bfed63c46d16060ea40f4e9d1ca78a2e6d7809c77bc4791e4e4d79000fc5e09,9bfed63c46d16060ea40f4e9d1ca78a2e6d7809c77bc4791e4e4d79000fc5e09,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA013133,TESALIA_400000105,426213,TESALIA_400000105,18050101,99991202,0.0008,1,45,0,ab717d9c63b33a0ad565131fd45c4dd49704d60c7de54e3e54ab64f4173c47e8,ab717d9c63b33a0ad565131fd45c4dd49704d60c7de54e3e54ab64f4173c47e8,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA021504,TESALIA_400000105,427336,TESALIA_400000105,18050101,99991202,0.00030000000000000003,1,45,0,65f9d37963a11b1777f2a04763d8e0eed40a8de92fc18c57fc5f64d02f2e02b1,65f9d37963a11b1777f2a04763d8e0eed40a8de92fc18c57fc5f64d02f2e02b1,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA019934,TESALIA_400000105,426214,TESALIA_400000105,18050101,99991202,0.00028399999999999996,1,45,0,9c70deccf2ac58a02959d7ef500c2fae3b0af51bac76e7873626fb44a97ad6ac,9c70deccf2ac58a02959d7ef500c2fae3b0af51bac76e7873626fb44a97ad6ac,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA011117,MARIPOSA_GP00,420011,MARIPOSA_GP00,18020101,99991202,0.0017580872011251757,1,45,0,baaed9f3b31fb817511f9f122e6c9eca1c644af72022689073f856c10b7cb9ac,baaed9f3b31fb817511f9f122e6c9eca1c644af72022689073f856c10b7cb9ac,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
F2250002,PERU_RP04,437122,PERU_RP04,18150101,99991202,0.0011534924384280002,1,45,0,9b13ab0d42be3efacb6d35f785ccefdd67d399c37b7f2b22e8c8b474137f6394,9b13ab0d42be3efacb6d35f785ccefdd67d399c37b7f2b22e8c8b474137f6394,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA005212,TESALIA_400000105,426214,TESALIA_400000105,18050101,99991202,0.00028399999999999996,1,45,0,541a3c967bec6cef9682e6c9bd359251ce74e3a37265ac40feb4f381b7ec7786,541a3c967bec6cef9682e6c9bd359251ce74e3a37265ac40feb4f381b7ec7786,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA015682,TESALIA_400000105,427336,TESALIA_400000105,18050101,99991202,0.00035499999999999996,1,45,0,9e6469724884b60dcc87c70bfc960c129fcbdfbc488ef0f08bcd6fe7acf991d9,9e6469724884b60dcc87c70bfc960c129fcbdfbc488ef0f08bcd6fe7acf991d9,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
