currency,date,rate,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
MXN,20260207,18.65220000,MXN~20260207,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,b3a44b691b0f85250358bfc531930d5b39f909d081db5e03efc0c7324ae863e2
HNL,20260217,26.15160000,HNL~20260217,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,50eeae86e5c65e8d0d8bcbd19f279c8ac2f3034b536e1e13a859d3504e84387d
PEN,20260204,3.54000000,PEN~20260204,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,2467406449ac73ca7eae9f799cc66d95b6e39339bcdbc458979bc8c56e7ccc3c
SEK,20260219,9.43440000,SEK~20260219,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,5486475ebe99212127d53998b13f288dfd38b91460c4e66cbbbceb0daa7a1321
RUB,20260211,28.51500000,RUB~20260211,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,bac23fc3c3c7b9a73f4f3105f3e2e2c37d1909046dbf91b450de5608e60e97e2
PLN,20260216,4.12900000,PLN~20260216,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,e66a481ebd3619093c87d587a9f3c60ae264c034af546e9475afda03d12d68e0
SAR,20260203,3.74340000,SAR~20260203,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,393436c7ae0f9889ee60a52bbbc19f13b999c79fafc9f0d310318ee6a521cf8e
ARS,20260227,1342.00000000,ARS~20260227,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,b70f2bf4f178d692531ec42a637d2d34ed8421eaa20ed85c8eeb76755d028bd1
COP,20260207,4018.41000000,COP~20260207,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,fc3f68ad19a334c2600308634d19d8150b31eb1c32cb242c5221f98cd2956b49
MXN,20260215,18.65220000,MXN~20260215,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,ea89a370341b67e6a189c0411be85e43f20878cb3662db5c3313af46e5582118
DOP,20260210,63.50000000,DOP~20260210,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,8cfea96f2ab6e6cbbc50e4bdaba2a2b929704ee7ad834232259ef11850255aeb
GBP,20260220,0.74013800,GBP~20260220,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,8d49e448144673936d5ccfd558fdff0b0be2f9ab5755d8b95048c18787df1e6f
EUR,20260219,0.85778000,EUR~20260219,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,881b7cd2cef679561096e338b65cffaf218498844aea15ba4b3e2c26171482d3
HNL,20260208,26.15160000,HNL~20260208,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,1bdf247a22dc7fc59f774497df7bb8467550b70647ba631b1305f132bedf1145
PLN,20260224,4.12900000,PLN~20260224,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,6ac097fede659b483162f0e4ada3ce7622ed6a781871aaaf0d01cd56893d9d93
TTD,20260208,6.79200000,TTD~20260208,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,98b575c0db74caed0f45d95c5810bb0d928b31007b41c3cdc870e4cb74de8bb3
SIT,20260218,226.90000000,SIT~20260218,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,7cbffab0a960dff7b0e049120b924a98528a455bacf2440fc9c4e9c80c7513cd
CHF,20260202,0.90190000,CHF~20260202,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,7e7fae1f72a417d2d3a3d09ccf2f65d8b0139a81be49909f76dbdf6db5ce2d55
VEB,20260226,6.30000000,VEB~20260226,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,25461e1e5d4917dc6a6d105d9bae1a4d1aadad86e6de2f3d62c9d0e0cc82abd8
ARS,20260216,1342.00000000,ARS~20260216,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,ce354c147d702fcd8a5d178459f9524bc85e0309d74c8cffe49ecea965e4f448
TTD,20260206,6.79200000,TTD~20260206,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,80d3ef9f6da77fd7b43bf35f5cfe3ea63e31e9622fd67f3d2b50e8f2ba3b090d
TWD,20260201,32.94000000,TWD~20260201,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,c85d7711aca60e06a0770f325d3a87d055cd89219dc71d176a443c9ac7c1fd52
SIT,20260227,226.90000000,SIT~20260227,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,a6294314c612742f1231d38d20675facf060f2d6b6f96a70405381a79f61cd03
UAH,20260214,5.43460000,UAH~20260214,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,ebe729c748934f0c000734fb2fd3aa9530819df59734272c0a9e01fee85803b8
ZAR,20260213,7.56100000,ZAR~20260213,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,03afc1f50ddaef23487410abd345c4ca92c9badecb7ec7d4904d76a63c030d27
SIT,20260202,226.90000000,SIT~20260202,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,7e8558b8ff4c80dca95a47e75a4dd2d14c24c514ee13d20949f0b98222e745f7
GTQ,20260208,7.66073000,GTQ~20260208,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,cb94abb4ba155cb43f0bdcd15ab339ddf1f71265e25815a4aadc20b6cd324149
NIO,20260228,36.62430000,NIO~20260228,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,5d7dcf65519d6f3ccc80e5e6f6bd2d7f3cce35629ed7d0b87baebec8ff2ac606
SKK,20260219,47.31000000,SKK~20260219,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,35d35d9daa8692b575003ba125fcc639107b4db221e2a7af809b05655fe7abac
RUB,20260206,28.51500000,RUB~20260206,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,95d0e91344a14e3bdf47894da9a8a727cc80758a575d9b40ccdfb24feaa6d9a1
TWD,20260205,32.94000000,TWD~20260205,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,8f8718e89a34d53d73125e15504eda290b1694a6e534509a928f43c93476b5e8
SEK,20260204,9.43440000,SEK~20260204,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,22f1b8bf71021eea53fbe9a121586118b1b1b480d458a9154e944da0ad78f162
COP,20260220,4018.41000000,COP~20260220,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,8261d55319cff522a86b396ec01f2f85b92577d4cd9ff4b2cb379ed1ecbc720a
SKK,20260210,47.31000000,SKK~20260210,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,420abf42b60b97dc3c30e5b418a160d9abba31784d5d8d904d993eb0278a8088
SGD,20260206,1.73600000,SGD~20260206,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,8253b94aebe0f5742a2e328187ddb4ee87851e1fd381146e88d6240076b82804
EUR,20260214,0.85778000,EUR~20260214,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,29b95b3161f9bcbb4ec6d609eccba20e953275c562e90c6243ea81c0330104d2
SKK,20260209,47.31000000,SKK~20260209,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,0638d88a1d2668c4687727bf94816c12416d9c0d85a5d4a58e69786b20ea1bb2
HNL,20260210,26.15160000,HNL~20260210,2e63a4f4-4b8d-4be3-979e-36380b833af1,4b4035f3-222c-46db-90af-84c567eec88a,2026-02-02T10:05:37.573Z,2026-02-02T10:05:37.573Z,cfbbad5e595ba06f19492e144b6b442eb05df0f5c2006a1ef13ac7e68308f37c
