currency,date,rate,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
GTQ,20260101,7.66528,GTQ~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,f61942b2596c0e33c872b40ab1b12596858b2a97c89e05b46c2c15d1343e9a9a
CRC,20260101,497.94419,CRC~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,eb8d3d0fe47c7b446d6a893a552aa965aa9a07955a80149c155d699c8d3127a5
UYU,20260101,38.43915,UYU~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,6cfd0bd8e9370b0117a0d751a48ca2b04b5117947d915e9b70cff71ec29ca0c1
HNL,20260101,26.54630,HNL~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,3f5464bb36d6cf6839a51968b036180226524cdc3d40084e56276226bd03cbd1
DOP,20260101,63.50633,DOP~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,cfa784cc023f325db8bc4e78b2ae39bbc7c12a6c9c4978ea7c34f48a92cd0bd6
ARS,20260101,1448.95238,ARS~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,5a07c84ba7c7e9040bffc88a737c6ec713a947d9869a254a312d368ce6178d03
TTD,20260101,6.78135,TTD~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,9d828c4b4c0eaf762bc377ecf69225c5ccc1cf1030dd5f21835f3a6a82fa45cc
EUR,20260101,1.17382,EUR~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,4f0b293e85c7d7c47a0639fd408dd3b1983effb8d147c9b4b89ce44d88c18a7e
NIO,20260101,36.62430,NIO~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,c7afa22fcc9b96d113ccebb25e8d03e09254aac91979b7122c7982148383ea7a
MXN,20260101,17.67681,MXN~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,178993684515772c3da0a572b0a6e50f7d913181c25a56c4bea10c745fd71a53
PEN,20260101,3.36252,PEN~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,b88b6ec9df7a85df1d9092a134d28f70edfa2ad5a1b3b47eefd50c7002a6f747
JMD,20260101,158.44582,JMD~20260101,5a5922a9-ed0f-4cfd-9c9d-603ec1bd7bdf,cb3b2d21-0ac9-4ea8-aeb1-fabd78a481c5,2026-02-24T04:03:32.404Z,2026-02-24T04:03:32.411Z,34c3c771cdc082678434041c40411517a994132a5e18741392382881d1f0633c
HNL,20260301,26.74886,HNL~20260301,8ff44d82-67ad-42d4-8002-fb175f7df1ef,4f30886f-8e48-4a2d-b6f6-09675d074bb5,2026-01-28T11:21:12.382Z,2026-01-28T11:21:12.382Z,84825b57cdc8dd3f16b2e88eb9c6a2be791edd904e4b09ccc947c45652735116
