customer_id,part_site_value,customer_site_value,part_name,forecast_item_path,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
2060885,MARES_2060885,MARES_2060885,BA018275,BA018275_MARES_2060885,2060885,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,925f0f96cbbc1a3d17938fb26a35f5c7b7f825e62d25a91828b9f25a9d323bdd
68371,REVIVE TRADING_68371,REVIVE TRADING_68371,AA648077,AA648077_REVIVE TRADING_68371,68371,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,81b8d72501999d4cc64b7b682707f63ab98ba4f9e7865d1778b8c0f38fe7c92c
66821,MITCHELL A. MICHAEL LIMIT_66821,MITCHELL A. MICHAEL LIMIT_66821,AA583077,AA583077_MITCHELL A. MICHAEL LIMIT_66821,66821,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,2197e422730d18aa23a32670815c02254235fdc55b9a886f63f7b3ef23027522
66336,PEPSICOLA_PUERTO_RICO_66336,PEPSICOLA_PUERTO_RICO_66336,BA018278,BA018278_PEPSICOLA_PUERTO_RICO_66336,66336,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,631365f6dfba451bf90afdc93645d2c2cee5235cbcc0b69bd5d1c23b5c8b952c
66309,BREWERIES_66309,BREWERIES_66309,AA760392,AA760392_BREWERIES_66309,66309,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,5dd7f8af564f5be63dbc181b967626dde7154037e23f0aaf5ffbaddc6ab35021
67372,B&L GOOD BROTHERS MASSACHUSETTS_67372,B&L GOOD BROTHERS MASSACHUSETTS_67372,AA276133,AA276133_B&L GOOD BROTHERS MASSACHUSETTS_67372,67372,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,a587315d8817012521897db2766154081204d6f91b99dc6dbae7909688560a8f
66318,SUNBURST_TRADING_66318,SUNBURST_TRADING_66318,AA780634,AA780634_SUNBURST_TRADING_66318,66318,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,2f24fb284813a44977bba750a83235603bb4fc12b5ac456364dd98e5683449ca
66378,RIO_GRANDE_66378,RIO_GRANDE_66378,AA270133,AA270133_RIO_GRANDE_66378,66378,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,296757e252bbc47ee79f900e7422ef41ddd68ce5f5640ad24a0a46d86f551899
66339,CBC_PERUANA_66339,CBC_PERUANA_66339,BA005649,BA005649_CBC_PERUANA_66339,66339,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,a7fd5fd78a5c4a0a4d2968c8abc776eca24a6fed9311f3df64fc28597b3d47fb
30001,THE_TESALIA_30001,THE_TESALIA_30001,BA019928,BA019928_THE_TESALIA_30001,30001,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,bddb504d3dd933412f6108060973f9150910014506aeab610c5ff2fe74803829
68947,ALMACENES SANTANA_68947,ALMACENES SANTANA_68947,BA019169,BA019169_ALMACENES SANTANA_68947,68947,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,dc9c1df0bd1fef64ef8d70d1f70665c533a876a83f7a09767651df34946d8c91
66366,ISLEÑA_66366,ISLEÑA_66366,AA348078,AA348078_ISLEÑA_66366,66366,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,9bac5a69d85dfa97b780144c1c4b9f6e2216d6f99d010af10a75d66130df82da
30001,THE_TESALIA_30001,THE_TESALIA_30001,BA000774,BA000774_THE_TESALIA_30001,30001,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,e82ad218ad50b02e39724d62894c2adf596b1f97aa71745f381c568a9aa94ee9
66888,INTERNATIONAL WORLD FOODS_66888,INTERNATIONAL WORLD FOODS_66888,AA780634,AA780634_INTERNATIONAL WORLD FOODS_66888,66888,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,fef775c36df3a6e9ed16f625ed6cb77ba2b924a492fa2f22e58fcf7ce9f61387
66516,GLOBAL_FLAVORS_66516,GLOBAL_FLAVORS_66516,BA007452,BA007452_GLOBAL_FLAVORS_66516,66516,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,4e6095faacb9909fc71f059dbec3fb6917e1666367e004d1e4d21b2cf4a22227
68371,REVIVE TRADING_68371,REVIVE TRADING_68371,BA007458,BA007458_REVIVE TRADING_68371,68371,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,d6b7806967e018052b8dc79d169b5d47712b0689a4a9ceca26abaea8525a0984
66336,PEPSICOLA_PUERTO_RICO_66336,PEPSICOLA_PUERTO_RICO_66336,BA017959,BA017959_PEPSICOLA_PUERTO_RICO_66336,66336,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,6f66bb01f9ed18cda322fe9f0bc98e975ed60f241b0def658990563049765a88
66323,GRENADA_BREWERY_66323,GRENADA_BREWERY_66323,AA759634,AA759634_GRENADA_BREWERY_66323,66323,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,a10a9a87c86a6447923f47b08297d71a49a29397741cbe73cda8d5b021f82455
66339,CBC_PERUANA_66339,CBC_PERUANA_66339,BA007660,BA007660_CBC_PERUANA_66339,66339,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,426659c7bee911891bb66d94b2655863c31c05ed73fe4eef39390001cd05a1b6
66367,FEDURO_66367,FEDURO_66367,BA020187,BA020187_FEDURO_66367,66367,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,200f9beb134e6be7ab3d72a94c8260b49ae08aa46ab12aafe3878b0b6fd9961f
66332,EMBOTELLADORA_LA_REYNA_66332,EMBOTELLADORA_LA_REYNA_66332,AA004155,AA004155_EMBOTELLADORA_LA_REYNA_66332,66332,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,01dfcb8194a5880d55538548a4debf704a83de50d3731a6e594a060e7f041868
66336,PEPSICOLA_PUERTO_RICO_66336,PEPSICOLA_PUERTO_RICO_66336,BA025294,BA025294_PEPSICOLA_PUERTO_RICO_66336,66336,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,ae36f44682394ab3a2687a2a73e37de9d638536b4cf0ea4fee6b62d53ecf7437
66317,IBERIA_FOODS_NY_66317,IBERIA_FOODS_NY_66317,AA781399,AA781399_IBERIA_FOODS_NY_66317,66317,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,fea1105efa72d92546b0e4be3b1a2dca8adb6ad1ff2df96d75427c5e16d41fb0
