source_id,destination_site_value,supplier_id,source_supplier_site_value
436577_RP04,Givaudan_100015087,100015087,Givaudan_100015087
420011_GP00,Grapette_100010909,100010909,Grapette_100010909
BA020757_66274,Livsmart_SP00,SP00,Livsmart_SP00
AA648145_67075,Livsmart_SP00,SP00,Livsmart_SP00
AA497191_66367,Livsmart_SP00,SP00,Livsmart_SP00
BA019968_66367,Livsmart_SP00,SP00,Livsmart_SP00
BA000321_67548,Tesalia_400000105,400000105,Tesalia_400000105
421575_100011087,CFF_100009382,100009382,CFF_100009382
BA019124_66274,Livsmart_SP00,SP00,Livsmart_SP00
BA016504_2108340,Livsmart_SP00,SP00,Livsmart_SP00
BA021188_66624,Livsmart_SP00,SP00,Livsmart_SP00
421573_100011087,CFF_100009382,100009382,CFF_100009382
AA648081_68371,Livsmart_SP00,SP00,Livsmart_SP00
BA020517_66274,Livsmart_SP00,SP00,Livsmart_SP00
AA648081_66303,Livsmart_SP00,SP00,Livsmart_SP00
BA019115_2060892,Livsmart_SP00,SP00,Livsmart_SP00
BA007452_66821,Livsmart_SP00,SP00,Livsmart_SP00
AA348077_66366,Livsmart_SP00,SP00,Livsmart_SP00
BA006258_2108340,Livsmart_SP00,SP00,Livsmart_SP00
BA017302_66367,Livsmart_SP00,SP00,Livsmart_SP00
BA004905_66624,Livsmart_SP00,SP00,Livsmart_SP00
437121_RP04,Givaudan_100015087,100015087,Givaudan_100015087
421573_100010426,CFF_100009382,100009382,CFF_100009382
430801_100011087,FISA_100009700,100009700,FISA_100009700
BA022912_66274,Livsmart_SP00,SP00,Livsmart_SP00
AA285202_66367,Livsmart_SP00,SP00,Livsmart_SP00
BA005471_66825,Livsmart_SP00,SP00,Livsmart_SP00
BA010926_67075,Livsmart_SP00,SP00,Livsmart_SP00
BA020516_66274,Livsmart_SP00,SP00,Livsmart_SP00
BA007799_66624,Livsmart_SP00,SP00,Livsmart_SP00
AA251191_2067820,Livsmart_SP00,SP00,Livsmart_SP00
BA007458_66821,Livsmart_SP00,SP00,Livsmart_SP00
BA013107_2108340,Livsmart_SP00,SP00,Livsmart_SP00
BA020236_66367,Livsmart_SP00,SP00,Livsmart_SP00
BA007458_67075,Livsmart_SP00,SP00,Livsmart_SP00
AA486190_2067820,Livsmart_SP00,SP00,Livsmart_SP00
AA348078_66366,Livsmart_SP00,SP00,Livsmart_SP00
421576_100010426,CFF_100009382,100009382,CFF_100009382
BA004905_2108340,Livsmart_SP00,SP00,Livsmart_SP00
BA017369_2067820,Livsmart_SP00,SP00,Livsmart_SP00
BA019968_2108340,Livsmart_SP00,SP00,Livsmart_SP00
AA066077_66377,Livsmart_SP00,SP00,Livsmart_SP00
BA006404_66367,Livsmart_SP00,SP00,Livsmart_SP00
AA034704_66274,Planeta Azul_100013761,100013761,Planeta Azul_100013761
435020_100011123,FISA_100009700,100009700,FISA_100009700
44004727_SP00,Great view_209134,209134,Great view_209134
AA583077_66377,Livsmart_SP00,SP00,Livsmart_SP00
437099_RP04,Givaudan_100015087,100015087,Givaudan_100015087
BA004906_66274,Livsmart_SP00,SP00,Livsmart_SP00
BA019658_66367,Livsmart_SP00,SP00,Livsmart_SP00
BA001445_66377,Livsmart_SP00,SP00,Livsmart_SP00
BA019174_66624,Livsmart_SP00,SP00,Livsmart_SP00
BA017302_2108340,Livsmart_SP00,SP00,Livsmart_SP00
435461_100011123,IFF_100010034,100010034,IFF_100010034
436528_100008711,IFF_100010034,100010034,IFF_100010034
BA003864_66624,Livsmart_SP00,SP00,Livsmart_SP00
BA018277_66274,Livsmart_SP00,SP00,Livsmart_SP00
436105_RP04,Givaudan_100015087,100015087,Givaudan_100015087
AA251209_2067820,Livsmart_SP00,SP00,Livsmart_SP00
437069_100011123,FIRMENICH INCORPORATED_148098,148098,FIRMENICH INCORPORATED_148098
AA270133_66274,Livsmart_SP00,SP00,Livsmart_SP00
420511_100011805,MAXXA_107875,107875,MAXXA_107875
BA020053_66321,Tesalia_400000105,400000105,Tesalia_400000105
44004728_SP00,Great view_209134,209134,Great view_209134
421574_100011087,CFF_100009382,100009382,CFF_100009382
BA017708_66274,Planeta Azul_100013761,100013761,Planeta Azul_100013761
436579_RP04,Givaudan_100015087,100015087,Givaudan_100015087
AA583081_66821,Livsmart_SP00,SP00,Livsmart_SP00
BA001444_66377,Livsmart_SP00,SP00,Livsmart_SP00
BA001446_66377,Livsmart_SP00,SP00,Livsmart_SP00
AA281209_2067820,Livsmart_SP00,SP00,Livsmart_SP00
AA583081_68371,Livsmart_SP00,SP00,Livsmart_SP00
431487_SP00,Givaudan_100015087,100015087,Givaudan_100015087
BA021302_66825,Livsmart_SP00,SP00,Livsmart_SP00
BA006972_66367,Livsmart_SP00,SP00,Livsmart_SP00
AA583079_66821,Livsmart_SP00,SP00,Livsmart_SP00
426243_100011123,IFF_100010034,100010034,IFF_100010034
436528_100011123,IFF_100010034,100010034,IFF_100010034
BA004905_66821,Livsmart_SP00,SP00,Livsmart_SP00
BA000322_66317,Tesalia_400000105,400000105,Tesalia_400000105
BA006756_66274,Livsmart_SP00,SP00,Livsmart_SP00
BA007806_66624,Livsmart_SP00,SP00,Livsmart_SP00
BA018216_66274,Livsmart_SP00,SP00,Livsmart_SP00
