basekey,partname,partsite,suppliersite,source_id,supplier_id,supplier_uom,multipleqty,minimumqty,unitcost,fixedleadtime,target,type,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
null,427336,FISA_100009700,FISA_100009700,427336_400000105,100009700,UN,10,10,447.44,90,1.0,buy,427336~FISA_100009700~FISA_100009700~427336_400000105~100009700~UN~10~10~447.44~90,d0b85a4f-496e-40c4-a398-20064db6f96d,22bff056-8649-4f58-ab14-6b794e69ae83,2026-02-20T05:02:21.836Z,2026-02-25T07:21:22.029Z,9ddbb461774c68a039845dd35ff47237af4c3c25b0694c7057fc23489f7595b9
null,437120,Givaudan_100015087,Givaudan_100015087,437120_RP04,100015087,UN,10,10,219.20,90,1.0,buy,437120~Givaudan_100015087~Givaudan_100015087~437120_RP04~100015087~UN~10~10~219.20~90,d0b85a4f-496e-40c4-a398-20064db6f96d,22bff056-8649-4f58-ab14-6b794e69ae83,2026-02-20T05:02:21.836Z,2026-02-25T07:21:22.029Z,fe9b2ace92450e0cab67c8cf94f1374da4a0bb0338dc2ea51be2e154fd3fca06
null,436577,Givaudan_100015087,Givaudan_100015087,436577_RP04,100015087,UN,10,10,38.12,90,1.0,buy,436577~Givaudan_100015087~Givaudan_100015087~436577_RP04~100015087~UN~10~10~38.12~90,d0b85a4f-496e-40c4-a398-20064db6f96d,22bff056-8649-4f58-ab14-6b794e69ae83,2026-02-20T05:02:21.836Z,2026-02-25T07:21:22.029Z,2178e0286b9a55f021068bd85a895784cfc067e87a735af160d017b27487e3cf
null,437122,Givaudan_100015087,Givaudan_100015087,437122_RP04,100015087,UN,10,10,250.65,90,1.0,buy,437122~Givaudan_100015087~Givaudan_100015087~437122_RP04~100015087~UN~10~10~250.65~90,d0b85a4f-496e-40c4-a398-20064db6f96d,22bff056-8649-4f58-ab14-6b794e69ae83,2026-02-20T05:02:21.836Z,2026-02-25T07:21:22.029Z,4c34a92d8945b98d3a66d7e6ac7503dc92167be7bdd9f3484216d0333583aa2a
null,436610,Givaudan_100015087,Givaudan_100015087,436610_RP04,100015087,UN,10,10,230.25,90,1.0,buy,436610~Givaudan_100015087~Givaudan_100015087~436610_RP04~100015087~UN~10~10~230.25~90,d0b85a4f-496e-40c4-a398-20064db6f96d,22bff056-8649-4f58-ab14-6b794e69ae83,2026-02-20T05:02:21.836Z,2026-02-25T07:21:22.029Z,19436842be1019305f403d5f010245604155253c04b09286c2f71c52c68b84a9
null,436105,Givaudan_100015087,Givaudan_100015087,436105_RP04,100015087,UN,10,10,26.24,90,1.0,buy,436105~Givaudan_100015087~Givaudan_100015087~436105_RP04~100015087~UN~10~10~26.24~90,d0b85a4f-496e-40c4-a398-20064db6f96d,22bff056-8649-4f58-ab14-6b794e69ae83,2026-02-20T05:02:21.836Z,2026-02-25T07:21:22.029Z,99218512efe1fda71ffb450bbc7d348dac525e60e13ed60f0f8e980e49ceb9f2
null,437121,Givaudan_100015087,Givaudan_100015087,437121_RP04,100015087,UN,10,10,35.37,90,1.0,buy,437121~Givaudan_100015087~Givaudan_100015087~437121_RP04~100015087~UN~10~10~35.37~90,d0b85a4f-496e-40c4-a398-20064db6f96d,22bff056-8649-4f58-ab14-6b794e69ae83,2026-02-20T05:02:21.836Z,2026-02-25T07:21:22.029Z,f9f0c2e7ed73dd3af4d1f6572c90b57567135c790950dec29d1ff5667c4d2eab
null,437124,Givaudan_100015087,Givaudan_100015087,437124_RP04,100015087,UN,10,10,81.34,90,1.0,buy,437124~Givaudan_100015087~Givaudan_100015087~437124_RP04~100015087~UN~10~10~81.34~90,d0b85a4f-496e-40c4-a398-20064db6f96d,22bff056-8649-4f58-ab14-6b794e69ae83,2026-02-20T05:02:21.836Z,2026-02-25T07:21:22.029Z,e46528d56bc1a2907495698e03354f4cc0e42ba451c5e100c4ca9f9f17a8784c
null,436579,Givaudan_100015087,Givaudan_100015087,436579_RP04,100015087,UN,10,10,197.06,90,1.0,buy,436579~Givaudan_100015087~Givaudan_100015087~436579_RP04~100015087~UN~10~10~197.06~90,d0b85a4f-496e-40c4-a398-20064db6f96d,22bff056-8649-4f58-ab14-6b794e69ae83,2026-02-20T05:02:21.836Z,2026-02-25T07:21:22.029Z,29c887032dafb8db78cd7c76fa511d9f8552604607942ddbbfeb886084156da3
null,436578,Givaudan_100015087,Givaudan_100015087,436578_RP04,100015087,UN,10,10,42.00,90,1.0,buy,436578~Givaudan_100015087~Givaudan_100015087~436578_RP04~100015087~UN~10~10~42.00~90,d0b85a4f-496e-40c4-a398-20064db6f96d,22bff056-8649-4f58-ab14-6b794e69ae83,2026-02-20T05:02:21.836Z,2026-02-25T07:21:22.029Z,86195b49c433ac2667866b09b7f153f67b646dff1a91013a430b7dbba600e0d7
