basekey,partname,transferpartname,partsite,suppliersite,transfersite,source_id,supplier_id,multipleqty,minimumqty,fixedleadtime,target,type,business_model,table,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
null,600442,600442,JAMAICA EXPORTS (PCJ)_J001,CFF_100009382,CFF_100009382,600442_J001,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600442~JAMAICA EXPORTS (PCJ)_J001~CFF_100009382~600442_J001~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,5e2914230dced2df5828bf004b376da431e4dd038e52d0c1034593bf636e237c
null,AA004005,AA004005,EMBOTELLADORA_LA_MARIPOSA_66328,EMBOTELLADORA_LA_MARIPOSA_66328,EMBOTELLADORA_LA_MARIPOSA_66328,AA004005_66328,EMBOTELLADORA_LA_MARIPOSA_66328,0,0,0,0,Transfer,PROFIT_SPLIT,Scen3,AA004005~EMBOTELLADORA_LA_MARIPOSA_66328~EMBOTELLADORA_LA_MARIPOSA_66328~AA004005_66328~EMBOTELLADORA_LA_MARIPOSA_66328~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,0b52f3ab11d21d28ef2234f03fa747a2b4c8b4ac545e492e2acf7f3fc8647532
null,437120,437120,PERU_RP04,Givaudan_100015087,Givaudan_100015087,437120_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,437120~PERU_RP04~Givaudan_100015087~437120_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,cb7fb0c143d5f8432af765640be0175e060b22a5bfa390db8ea951f71efd3b28
null,600442,600442,CANADÁ_NATIONALDRY_100010426,CFF_100009382,CFF_100009382,600442_100010426,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600442~CANADÁ_NATIONALDRY_100010426~CFF_100009382~600442_100010426~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,4e52315e8e75a8928eda886d46aa913595a608d36641d57920ec91048b767f24
null,AA001061,AA001061,EMBOTELLADORA_LA_NACIONAL_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,AA001061_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,0,0,0,0,Transfer,PROFIT_SPLIT,Scen3,AA001061~EMBOTELLADORA_LA_NACIONAL_2060890~EMBOTELLADORA_LA_NACIONAL_2060890~AA001061_2060890~EMBOTELLADORA_LA_NACIONAL_2060890~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,0ff15027ba69307b835998e301c0ba5d6e1b92654de3eef9e081c9e1a2e4237e
null,436528,436528,BROOKLYN BM_100011087,IFF_100010034,IFF_100010034,436528_100011087,100010034,25,25,90,1.0,Transfer,CONCENTRATE,Scen2,436528~BROOKLYN BM_100011087~IFF_100010034~436528_100011087~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,5dc338b1a6fc5075158d963d428f3653d0508b224224e340d4097e6434d73d60
null,436579,436579,PERU_RP04,Givaudan_100015087,Givaudan_100015087,436579_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,436579~PERU_RP04~Givaudan_100015087~436579_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,968a29488bb19e7e196f1580eb4b052e2030edda60db6293876a56b78ca8f620
null,437102,437102,REFRESCO_100011123,FIRMENICH INCORPORATED_148098,FIRMENICH INCORPORATED_148098,437102_100011123,148098,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,437102~REFRESCO_100011123~FIRMENICH INCORPORATED_148098~437102_100011123~148098~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,bd851785cd350a151d2aee2228362d3d388fd8ceee473d0a306e0b3ce58b8a27
null,44004727,44004727,IDEALSA_100011805,Great view_209134,Great view_209134,44004727_100011805,209134,600,2250,90,0.0,Transfer,,Scen2,44004727~IDEALSA_100011805~Great view_209134~44004727_100011805~209134~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,2025033dbf2abef54ddcbadad40fc3797ddeff6231a10a8b4f1c07b7570cb365
null,600442,600442,BROOKLYN BM_100011087,CFF_100009382,CFF_100009382,600442_100011087,100009382,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600442~BROOKLYN BM_100011087~CFF_100009382~600442_100011087~100009382~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,e27ca833301885c026b3e4a80edbe814cef30a3391089ed121b237d5f2930f8f
null,AA001014,AA001014,EMBOTELLADORA_LA_NACIONAL_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,AA001014_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,0,0,0,0,Transfer,PROFIT_SPLIT,Scen3,AA001014~EMBOTELLADORA_LA_NACIONAL_2060890~EMBOTELLADORA_LA_NACIONAL_2060890~AA001014_2060890~EMBOTELLADORA_LA_NACIONAL_2060890~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,d1edb846a21c7534ff4e9864b3a7dd7dce7bc68d081927a8b63ac9f29b36641d
null,435415,435415,BROOKLYN BM_100011087,IFF_100010034,IFF_100010034,435415_100011087,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435415~BROOKLYN BM_100011087~IFF_100010034~435415_100011087~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,2370b4345a97d65fd62d524cd55bec2c168a7875d25dce4edab5c8ee32d9d489
null,435453,435453,REFRESCO_100011123,IFF_100010034,IFF_100010034,435453_100011123,100010034,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,435453~REFRESCO_100011123~IFF_100010034~435453_100011123~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,b334ec8a5b39e2ca25d78023eb975d7f5838e2e381d1f9eaedde272852234831
null,436106,436106,PERU_RP04,Givaudan_100015087,Givaudan_100015087,436106_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,436106~PERU_RP04~Givaudan_100015087~436106_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,f18db26dfbc113b196e9663571f77e8eccbacc0a40a0ec0e1f487aa1004a9ff4
null,436528,436528,DAMM GLOBAL_100008711,IFF_100010034,IFF_100010034,436528_100008711,100010034,25,25,90,1.0,Transfer,CONCENTRATE,Scen2,436528~DAMM GLOBAL_100008711~IFF_100010034~436528_100008711~100010034~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,47e3521fa6a521b1a15c11b900cebc2a8a48b7e018406bd8b4ee6f1174fdad48
null,436578,436578,PERU_RP04,Givaudan_100015087,Givaudan_100015087,436578_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,436578~PERU_RP04~Givaudan_100015087~436578_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,66f4ddf0c4bfc5e7086777843c81afe6bfda6f3e62278b47e708d201b1b40104
null,437069,437069,REFRESCO_100011123,FIRMENICH INCORPORATED_148098,FIRMENICH INCORPORATED_148098,437069_100011123,148098,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,437069~REFRESCO_100011123~FIRMENICH INCORPORATED_148098~437069_100011123~148098~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,2672c63a7ec08826809a017ca6a373e7c3d779c043e22399a68382473a65cd9b
null,437101,437101,REFRESCO_100011123,FIRMENICH INCORPORATED_148098,FIRMENICH INCORPORATED_148098,437101_100011123,148098,25,25,0,1.0,Transfer,CONCENTRATE,Scen2,437101~REFRESCO_100011123~FIRMENICH INCORPORATED_148098~437101_100011123~148098~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,528d7c6cfc0049d3d0f08773357f9220b610f4359ac8a93b9c2ae59c359570df
null,437122,437122,PERU_RP04,Givaudan_100015087,Givaudan_100015087,437122_RP04,100015087,10,10,90,1.0,Transfer,CONCENTRATE,Scen2,437122~PERU_RP04~Givaudan_100015087~437122_RP04~100015087~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,620c27531eb963b0098c704f733f1e7229d72468d575c97183df9bc3011c94f7
null,44004726,44004726,LIVSMART_SP00,Great view_209134,Great view_209134,44004726_SP00,209134,600,2250,90,0.0,Transfer,,Scen2,44004726~LIVSMART_SP00~Great view_209134~44004726_SP00~209134~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,038224f88bf50cb5f952e75058967fef00bb34bef94501e5dba02d1702ecc451
null,600399,600399,BROOKLYN BM_100011087,Jamaica Exports (PCJ)_400000096,Jamaica Exports (PCJ)_400000096,600399_100011087,400000096,25,25,120,1.0,Transfer,CONCENTRATE,Scen2,600399~BROOKLYN BM_100011087~Jamaica Exports (PCJ)_400000096~600399_100011087~400000096~Transfer,82f3e28c-b705-4540-8bd5-f2910407c9b2,2f06cd78-452e-4df7-8aba-aec248130958,2026-02-25T07:22:07.933Z,2026-02-25T07:22:07.940Z,32503b48fbe948b15d3168b35902f92e44d43b9b8986c91c85d09edc9ae5daf3
