partname,partsite,unitofmeasure,factor,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
BA003559,MÉXICO_2060892,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,783b5c556d0a55d44a9389f349a40d89a3fbb3f0300e800a8c1bb03c85b4d997
BA011119,EMBOTELLADORA_LA_MARIPOSA_66328,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,29a2d513930814385a0a3516658e5b9f7203884e77bb35adf99131790b4521f4
BA012740,CBC_PERUANA_66339,UN,15,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,22ca342b35324a8abd286a0559ab727afe7a0efde8a14dd27973f1d404e3b07e
AA865078,MARES_2060885,PAK,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,9b6a71adb7b69e9ff0654d9b777788db28aeb3f95056a0ded6bc99bda3998b86
BA006134,PEPSICOLA_PUERTO_RICO_66336,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,a62836a17b3baf013059784b75b7c45d8babc798949b6feaab0b37d8e5f281b1
BA025294,PEPSICOLA_PUERTO_RICO_66336,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,af530d6f142f5ceffe589f2f1186baae9f94b23d0f799441a25524eb098cd4a4
BA013905,THE_TESALIA_30001,CJE,0.5,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,0b3fbda5052445b4c9bd3aa602bc32c1501315175b41044b8453ca4c11cda249
BA023404,PEPSICOLA_PUERTO_RICO_66336,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,ff199dfa8ae4fd919522278e3d4fd636ab7b0e19dd96056c85c6673f9c9ee011
AA130111,EMBOTELLADORA_LA_REYNA_66332,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,4872fe2b492bc4d72a25e4f80d43ee860919676ab716ed881d92dfe38b0515dc
BA017302,FEDURO_66367,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,e92aae6f0bdc939616aaf2243d9a22c3f9de84839b5ff237a870425b8426c1cc
BA022697,EMBOTELLADORA_LA_REYNA_66332,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,7418b1afff80ed300c86ff0cb542e97ce701189924863743a84c5f8b1191b7a8
BA021512,THE_TESALIA_30001,PAL,0.025,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,02858531afba5a9f425ae4239d7866622c6abf2c9972fd8eaf1c843033892e39
