id,site,new_type,line,status,partname,requestdate,totalquantity,duedate,dockdate,unitprice,OrderSupplierId,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
BA007453_66377_20260218,KASIM_66377,PO,null,Ignore,BA007453,20260218,1950,20260220,null,10.763518564,SP00,BA007453_66377_20260218~KASIM_66377~PO~Ignore~BA007453~20260218~1950.0~20260220~10.763518564~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,9f7b1a45676cdcd37260dce88bfa131350124ae6fe6c11b1844d74e28d713624
AA780634_66301_20260218,IBERIA_FOODS_FL_66301,PO,null,Ignore,AA780634,20260218,216,20260220,null,15.21,66303,AA780634_66301_20260218~IBERIA_FOODS_FL_66301~PO~Ignore~AA780634~20260218~216.0~20260220~15.21~66303,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,a347ada9a0f70158e9713f5f9884a811dfd53698491c02920c3844bac4e2ddb4
BA007455_66377_20260218,KASIM_66377,PO,null,Ignore,BA007455,20260218,10500,20260220,null,10.763518564,SP00,BA007455_66377_20260218~KASIM_66377~PO~Ignore~BA007455~20260218~10500.0~20260220~10.763518564~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,bc5f24ec44dc2f154161d9ff4b58e77756baa262877f7252d9c50c08a9ffe2f2
AA577601_68472_20260218,PENTRADE DUTY FREE B V_68472,PO,null,Ignore,AA577601,20260218,2760,20260220,null,0,66385,AA577601_68472_20260218~PENTRADE DUTY FREE B V_68472~PO~Ignore~AA577601~20260218~2760.0~20260220~0.0~66385,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,a1244f82449455d7dc4ff0b47ee9b23d3f6093926469a4f5a700e3cf2749a7a8
AA760601_66402_20260218,C.E.L._DISTRIBUTORS_66402,PO,null,Ignore,AA760601,20260218,40,20260220,null,12,400000096,AA760601_66402_20260218~C.E.L._DISTRIBUTORS_66402~PO~Ignore~AA760601~20260218~40.0~20260220~12.0~400000096,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,6d676109651b2535bc3d9bd568c10bfffe408bf5ed7024c74493785de83b3863
BA011319_2108340_20260218,IMPADOEL_2108340,PO,null,Ignore,BA011319,20260218,13120,20260220,null,4.361775958,SP00,BA011319_2108340_20260218~IMPADOEL_2108340~PO~Ignore~BA011319~20260218~13120.0~20260220~4.361775958~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,c462be570127198a497583df2062ba14651e6445c0552c04d1f30ce4b2323d0b
AA583078_66377_20260218,KASIM_66377,PO,null,Ignore,AA583078,20260218,1120,20260220,null,9.591208802,SP00,AA583078_66377_20260218~KASIM_66377~PO~Ignore~AA583078~20260218~1120.0~20260220~9.591208802~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,953a9559a66ccd7a3e43d8a78c1b09cb6616b1116e828627c40f72dfc04f93b8
BA018679_66385_20260218,REFRESCO_66385,PO,null,Ignore,BA018679,20260218,139,20260220,null,0,100010034,BA018679_66385_20260218~REFRESCO_66385~PO~Ignore~BA018679~20260218~139.0~20260220~0.0~100010034,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,89fde3ffdd7d4f0f34881d15c8da24ffbdd9334574b969d7d0a597490f054c06
BA007457_66377_20260218,KASIM_66377,PO,null,Ignore,BA007457,20260218,4125,20260220,null,10.763518564,SP00,BA007457_66377_20260218~KASIM_66377~PO~Ignore~BA007457~20260218~4125.0~20260220~10.763518564~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,0a53d82497d4524eebd5f0981f8ebfd3892cb601e1c1de44e7767c5625216cb4
AA583390_66402_20260218,C.E.L._DISTRIBUTORS_66402,PO,null,Ignore,AA583390,20260218,56,20260220,null,9.75,400000096,AA583390_66402_20260218~C.E.L._DISTRIBUTORS_66402~PO~Ignore~AA583390~20260218~56.0~20260220~9.75~400000096,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,0f2d1c1872761ce3a5489b20431ba072a2e1e3e72f6d2eee23a0874b7990de22
AA276079_66378_20260218,RIO_GRANDE_66378,PO,null,Ignore,AA276079,20260218,990,20260220,null,11.67,SP00,AA276079_66378_20260218~RIO_GRANDE_66378~PO~Ignore~AA276079~20260218~990.0~20260220~11.67~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,50098c9a3ea5e618550cfcecaf2d04cb0727f5146dd7012341af444ed7fd4252
AA819392_66402_20260218,C.E.L._DISTRIBUTORS_66402,PO,null,Ignore,AA819392,20260218,40,20260220,null,12,400000096,AA819392_66402_20260218~C.E.L._DISTRIBUTORS_66402~PO~Ignore~AA819392~20260218~40.0~20260220~12.0~400000096,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,21ac8bd6e525583b12957e94a5edc62fd770d744534ff3ec6101e6aabd26e2a1
BA007457_66378_20260218,RIO_GRANDE_66378,PO,null,Ignore,BA007457,20260218,150,20260220,null,13.46,SP00,BA007457_66378_20260218~RIO_GRANDE_66378~PO~Ignore~BA007457~20260218~150.0~20260220~13.46~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,baa020fccb8202b33c60ffa08c1abacddc061fefad9cedc30a1f321f7959f864
AA760392_66317_20260218,IBERIA_FOODS_NY_66317,PO,null,Ignore,AA760392,20260218,1040,20260220,null,0,400000096,AA760392_66317_20260218~IBERIA_FOODS_NY_66317~PO~Ignore~AA760392~20260218~1040.0~20260220~0.0~400000096,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,010bfab4eb8d06b555325278c76e68cf00e0845761a8f258a0d39cc92e396fa3
AA819389_66402_20260218,C.E.L._DISTRIBUTORS_66402,PO,null,Ignore,AA819389,20260218,80,20260220,null,12.64,400000096,AA819389_66402_20260218~C.E.L._DISTRIBUTORS_66402~PO~Ignore~AA819389~20260218~80.0~20260220~12.64~400000096,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,45beb74a9a84f4cd44a8a825b41b15f3228bc7f721a36024b486e9c356670225
BA007451_66378_20260218,RIO_GRANDE_66378,PO,null,Ignore,BA007451,20260218,750,20260220,null,13.46,SP00,BA007451_66378_20260218~RIO_GRANDE_66378~PO~Ignore~BA007451~20260218~750.0~20260220~13.46~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,01178324c0753be5e32102825706ce70622f4882e643c8c916038b54cd15511a
AA648081_66377_20260218,KASIM_66377,PO,null,Ignore,AA648081,20260218,21357,20260220,null,6.19607233,SP00,AA648081_66377_20260218~KASIM_66377~PO~Ignore~AA648081~20260218~21357.0~20260220~6.19607233~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,b08b719e5b6424f09421524dd2c428f47a25cc12dc2791e7fc8e9a0b24b235bf
BA005741_2108340_20260218,IMPADOEL_2108340,PO,null,Ignore,BA005741,20260218,189,20260220,null,4.954545241,SP00,BA005741_2108340_20260218~IMPADOEL_2108340~PO~Ignore~BA005741~20260218~189.0~20260220~4.954545241~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,76b591ef371e4e9fce5c4c8fe91775778e4baa3e9ac2091efff64e5b8b8149a0
BA022099_66385_20260218,REFRESCO_66385,PO,null,Ignore,BA022099,20260218,20105,20260220,null,0,100010034,BA022099_66385_20260218~REFRESCO_66385~PO~Ignore~BA022099~20260218~20105.0~20260220~0.0~100010034,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,e099a3955178dc8b853a2115b5e51abece6495c1f589f83ca05c04b7dcbcca95
BA012958_66377_20260218,KASIM_66377,PO,null,Ignore,BA012958,20260218,2835,20260220,null,6.19607233,SP00,BA012958_66377_20260218~KASIM_66377~PO~Ignore~BA012958~20260218~2835.0~20260220~6.19607233~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,6ecaafb9c4d9768f879be5c58699fed78eeede4c1a9153f4f30aedc9ef38edee
BA002469_2067820_20260218,TRANSMUNDI_2067820,PO,null,Ignore,BA002469,20260218,1210,20260220,null,0,SP00,BA002469_2067820_20260218~TRANSMUNDI_2067820~PO~Ignore~BA002469~20260218~1210.0~20260220~0.0~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,822d8d163aa2750b574bf33d39dd47a16dcfeb5e5e92db238bab1d4af244da45
BA005454_66367_20260218,FEDURO_66367,PO,null,Ignore,BA005454,20260218,225,20260220,null,11.149839744,SP00,BA005454_66367_20260218~FEDURO_66367~PO~Ignore~BA005454~20260218~225.0~20260220~11.149839744~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,a48e45d7ea51555173dfa6509c964c758977b314f8c069f5c1162dde5509dfd4
AAF1010075_66385_20260218,REFRESCO_66385,PO,null,Ignore,AAF1010075,20260218,20105,20260220,null,0,100010034,AAF1010075_66385_20260218~REFRESCO_66385~PO~Ignore~AAF1010075~20260218~20105.0~20260220~0.0~100010034,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,69e467abdcfdb0795d4b4d9adcb162746041f5bb3fa2f0cfeb09fadbb2dd9ab4
BA022757_68195_20260218,UNIDEX_68195,PO,null,Ignore,BA022757,20260218,5400,20260220,null,9.4869,68380,BA022757_68195_20260218~UNIDEX_68195~PO~Ignore~BA022757~20260218~5400.0~20260220~9.4869~68380,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,09d564395a37089bc4683d51c4f02533d5bdcabedcab160b02fc3ca752db37c1
AA780392_66301_20260218,IBERIA_FOODS_FL_66301,PO,null,Ignore,AA780392,20260218,4104,20260220,null,14.613785612,66303,AA780392_66301_20260218~IBERIA_FOODS_FL_66301~PO~Ignore~AA780392~20260218~4104.0~20260220~14.613785612~66303,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,e85d41d3aa4986e1621524b2099cbef96d5764e462d11176877dd7d8b6702269
BA026385_66385_20260218,REFRESCO_66385,PO,null,Ignore,BA026385,20260218,139,20260220,null,0,100010034,BA026385_66385_20260218~REFRESCO_66385~PO~Ignore~BA026385~20260218~139.0~20260220~0.0~100010034,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,c03e96986c2284ec8c71dd4ec442dedce3bfb3c5de947820bc20b0f865e1e69e
AA648133_66378_20260218,RIO_GRANDE_66378,PO,null,Ignore,AA648133,20260218,1323,20260220,null,7.85,SP00,AA648133_66378_20260218~RIO_GRANDE_66378~PO~Ignore~AA648133~20260218~1323.0~20260220~7.85~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,72cfdff88727ce8e5530fe77e13ebb96144991788e848e7fbc34aaea63fbb8ff
BA019771_66385_20260218,REFRESCO_66385,PO,null,Ignore,BA019771,20260218,20105,20260220,null,0,100010034,BA019771_66385_20260218~REFRESCO_66385~PO~Ignore~BA019771~20260218~20105.0~20260220~0.0~100010034,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,174ec7d1549e88f01effafb08c369df649f91ba91e9ddc2422002d22f676ad02
BA010926_66624_20260218,RECINOS_66624,PO,null,Ignore,BA010926,20260218,110,20260220,null,6.5,SP00,BA010926_66624_20260218~RECINOS_66624~PO~Ignore~BA010926~20260218~110.0~20260220~6.5~SP00,8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,2026-02-24T04:08:02.617Z,2026-02-25T07:12:39.761Z,e5494a73aef8b506db1fd2eb3a330b48c2e5284da99d7b43be8a9561e1d14c88
