header_category,header_customer,header_part_name,header_site,date,header_customer_name,quantity,unit_price,currency,SellIN_Flag,integration_id,record_key_hash,batch_id,execution_id,create_timestamp,last_updated_timestamp
Shipments,66367,AA291190,FEDURO_66367,20260120,FEDURO,110.00,8.12,USD,Y,0e5263a328592c31a91c66273ebc712511edb7182e79f97124c9b627d5d7c97a,0e5263a328592c31a91c66273ebc712511edb7182e79f97124c9b627d5d7c97a,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,AA760601,REFRESCO_66385,20260209,REFRESCO,206.41,0.00,USD,Y,e38a5a576caafc95c4d705cee5769bea735dfaa2bfd48dfd70c7a8ad39014020,e38a5a576caafc95c4d705cee5769bea735dfaa2bfd48dfd70c7a8ad39014020,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66318,AA758703,SUNBURST_TRADING_66318,20260114,SUNBURST_TRADING,144.00,19.10,USD,Y,6aca48322125cd497d66a65a68e0d3048abf84a4cdb2ea6d00b300d9db862fa0,6aca48322125cd497d66a65a68e0d3048abf84a4cdb2ea6d00b300d9db862fa0,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2108340,BA006258,IMPADOEL_2108340,20260216,IMPADOEL,1050.00,5.45,USD,Y,9ca5c6d582b524c6d53a83f5a348455ac4de884851ecfc5070601bc90a6be2ff,9ca5c6d582b524c6d53a83f5a348455ac4de884851ecfc5070601bc90a6be2ff,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2108340,BA006756,IMPADOEL_2108340,20260131,IMPADOEL,-2576.00,0.00,USD,Y,1ebdccb18b5fd738c912d2b17965e55d8d6c6f470d845294e56eed116e277ceb,1ebdccb18b5fd738c912d2b17965e55d8d6c6f470d845294e56eed116e277ceb,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA022756,REFRESCO_66385,20260120,REFRESCO,6701.59,0.00,USD,Y,3892e9d03d951be91157c566da4fd76049aac9c59b4fc1f2e276755f45f987ae,3892e9d03d951be91157c566da4fd76049aac9c59b4fc1f2e276755f45f987ae,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2060892,M00012,MÉXICO_2060892,20260101,MÉXICO,10471.00,0.34,USD,Y,401adce45cef83e7b058e56fb0081016ca63c3bca3e6abdbb89d59cd51335f86,401adce45cef83e7b058e56fb0081016ca63c3bca3e6abdbb89d59cd51335f86,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66367,BA005453,FEDURO_66367,20260120,FEDURO,150.00,11.15,USD,Y,f2aaf094b4f68f80779b593eb851802440dd631ed6ef9879e933c0693df2ebd0,f2aaf094b4f68f80779b593eb851802440dd631ed6ef9879e933c0693df2ebd0,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA022099,REFRESCO_66385,20260122,REFRESCO,6701.59,0.00,USD,Y,86858d82dabd74e2e80a10d436696c15b74b6e3753df17860bca8a72c21669d1,86858d82dabd74e2e80a10d436696c15b74b6e3753df17860bca8a72c21669d1,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66320,AA577392,TICO_66320,20260220,TICO,480.00,10.05,USD,Y,3d2e68978a14e55a83c746d4eb08748da5e15b0627c035a4d873b4025a0d4811,3d2e68978a14e55a83c746d4eb08748da5e15b0627c035a4d873b4025a0d4811,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
