value,description,region_id,currency_value,currency_description,site_type,integration_id,record_key_hash,batch_id,execution_id,create_timestamp,last_updated_timestamp
BCS INTERNATIONAL CORP_68537,BCS INTERNATIONAL CORP,USA,USD,USD,CUSTOMER,BCS INTERNATIONAL CORP_68537,60bd0d01e9ae7ba615c78f1eb296317efcb7186a602f859cb4195fbd64cdca32,a049f100-5f53-41ab-9358-07e799e2a966,bf634628-0844-4409-9dde-c80c55cb13ac,2026-02-25T06:19:40.170Z,2026-02-25T06:19:40.182Z
DAMM GLOBAL BAR_68380,DAMM GLOBAL BAR,ESPAÑA,USD,USD,CUSTOMER,DAMM GLOBAL BAR_68380,923c2e9b998659a66944ae594e4041edc08d17079b34a7c611d844e4e442769f,a049f100-5f53-41ab-9358-07e799e2a966,bf634628-0844-4409-9dde-c80c55cb13ac,2026-02-25T06:19:40.170Z,2026-02-25T06:19:40.182Z
EL_CONDOR_66321,EL_CONDOR,PUERTO RICO,USD,USD,CUSTOMER,EL_CONDOR_66321,a0777c10d1490622b51cd016fbc72cce5b0f30e7e9eb7c9e44351fd2b7dea03a,a049f100-5f53-41ab-9358-07e799e2a966,bf634628-0844-4409-9dde-c80c55cb13ac,2026-02-25T06:19:40.170Z,2026-02-25T06:19:40.182Z
TROPICAL FRESH_68111,TROPICAL FRESH,ESPAÑA,USD,USD,CUSTOMER,TROPICAL FRESH_68111,fadf80753c61754462b2ae34655b7cb48c5d115c30a68e8fde47e2f8f78d485c,a049f100-5f53-41ab-9358-07e799e2a966,bf634628-0844-4409-9dde-c80c55cb13ac,2026-02-25T06:19:40.170Z,2026-02-25T06:19:40.182Z
PERU_RP04,PERU,Peru,USD,USD,PRODUCTIONPLANT,PERU_RP04,4f7faf02da2a5178662bbb5535201610bb4413ca2fe98e4cb08d5f3209ead452,a049f100-5f53-41ab-9358-07e799e2a966,bf634628-0844-4409-9dde-c80c55cb13ac,2026-02-25T06:19:40.170Z,2026-02-25T06:19:40.182Z
DIST. LATTE_67413,DIST. LATTE,HONDURAS,USD,USD,CUSTOMER,DIST. LATTE_67413,bdb379343f25318959c39a8bfa38e0a53183ffe443eaf3324f589a023cd87dec,a049f100-5f53-41ab-9358-07e799e2a966,bf634628-0844-4409-9dde-c80c55cb13ac,2026-02-25T06:19:40.170Z,2026-02-25T06:19:40.182Z
SAMPLES LATAM_67866,SAMPLES LATAM,GUATEMALA,USD,USD,CUSTOMER,SAMPLES LATAM_67866,a5cf3b652fdce1f9ddacc6199761487a1739b015844c02eff26bb70210ac61c5,a049f100-5f53-41ab-9358-07e799e2a966,bf634628-0844-4409-9dde-c80c55cb13ac,2026-02-25T06:19:40.170Z,2026-02-25T06:19:40.182Z
SHAH_TRADING_66315,SHAH_TRADING,PUERTO RICO,USD,USD,CUSTOMER,SHAH_TRADING_66315,169e9831d1e70e34a1002021bbe883ba5ef9537789946cfb70904f38c2e1c6e7,a049f100-5f53-41ab-9358-07e799e2a966,bf634628-0844-4409-9dde-c80c55cb13ac,2026-02-25T06:19:40.170Z,2026-02-25T06:19:40.182Z
IMEXH_68946,IMEXH,HONDURAS,USD,USD,CUSTOMER,IMEXH_68946,e34bd72c39f63fba6f7e2ddf3afa49aee37b06112e312d7319df81cab8d55b42,a049f100-5f53-41ab-9358-07e799e2a966,bf634628-0844-4409-9dde-c80c55cb13ac,2026-02-25T06:19:40.170Z,2026-02-25T06:19:40.182Z
MAJO TRADE_67751,MAJO TRADE,PUERTO RICO,USD,USD,CUSTOMER,MAJO TRADE_67751,6bba0bbf927d78e8110062786c39465882c13a582d15d0edbe39af34dbef1db4,a049f100-5f53-41ab-9358-07e799e2a966,bf634628-0844-4409-9dde-c80c55cb13ac,2026-02-25T06:19:40.170Z,2026-02-25T06:19:40.182Z
