value,Description,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
WorkDay,WorkDay,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261201,Sales Collaboration Volumen,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
Quarter,Quarter,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
Week,Week,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261008,Brands Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261118,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
ClosedLoop,ClosedLoop,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
Month,Month,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
Sales,Sales,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260818,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260910,Demand Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261002,Demand Forecast ,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261013,Forecast Accuracy and Stockout,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261112,Forecast Accuracy and Stockout,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261202,Demand Forecast ,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261218,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
MRPDate,MRPDate,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
ModifySales,ModifySales,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260901,Sales Collaboration Volumen,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260731,Sales Collaboration Volumen,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260807,Brands Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260812,Forecast Accuracy and Stockout,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260512,Demand Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260908,Brands Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260911,Forecast Accuracy and Stockout,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261001,Sales Collaboration Volumen,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
