material,id_producing_plant,cod_cliente,tipo_costo,mes,year,valor,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
AA780634,100010426,66301,FREIGHT,8,2026,1,AA780634~100010426~66301~FREIGHT~2026~8,9df9569ba00ba53544d5f75a4de89d6ff427f0e5adedd3c1cabc6393869b7e56,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA006841,SP00,66332,PRODUCTION FEE,6,2026,0,BA006841~SP00~66332~PRODUCTION FEE~2026~6,e0d9250dfb897370d4ac655798f6dbb9b50c5e0129bc713c472b0b4aac7c0a96,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA022674,GP00,66328,RAW MATERIALS,6,2026,0,BA022674~GP00~66328~RAW MATERIALS~2026~6,df5e92c8f258a3d7a5031edc9d8fe56e73705710db50e7be4f9a84367b2ce36e,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA018813,SP00,66332,PRODUCTION FEE,12,2026,0,BA018813~SP00~66332~PRODUCTION FEE~2026~12,5bb5c4bc72886064acd3f49d4109bf217020ee0fcbfe24faf385382e78d5e354,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA023305,GP00,66328,ESCENARIOS,1,2026,0,BA023305~GP00~66328~ESCENARIOS~2026~1,215a8df2325ca30fa87718a670fc933af68d33f2ec7f50e30cf9b84ef57beac4,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA021018,SP00,2060885,FREIGHT,2,2026,0,BA021018~SP00~2060885~FREIGHT~2026~2,2fb6e2a4a8f16d7636fc30de9481d46fba8ab2eea63ad29fb82735e034c361d2,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA017708,GP00,66274,PRODUCTION FEE,12,2026,1,BA017708~GP00~66274~PRODUCTION FEE~2026~12,7be19610883ae449d056838fefe907595ce7c9da1ead06a8791716689e39e1a8,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA020761,SP00,66274,FREIGHT,8,2026,1.0724041800438426,BA020761~SP00~66274~FREIGHT~2026~8,3292095a617577c612f80ce0afc500340722469de7d6f57c8ed56e07bffc92d7,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA007455,SP00,66624,ESCENARIOS,11,2026,0,BA007455~SP00~66624~ESCENARIOS~2026~11,b9c47c9dc87bd69f380886f289c8ebb347d185eba8a3b83193898f7b2df52c3e,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA019935,400000105,30001,RAW MATERIALS,10,2026,0,BA019935~400000105~30001~RAW MATERIALS~2026~10,ce948bce0dd191120afd86ed04fcd7e074a04c70b8f9dc857d94c249a2416c03,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA016508,SP00,2060885,STRATEGIC MATERIALS,10,2026,0,BA016508~SP00~2060885~STRATEGIC MATERIALS~2026~10,f166f5e1db943f2f4f26ab19196758a6e51da70eb5974016b876218b747372a5,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA780392,100010426,66317,RAW MATERIALS,12,2026,12.82,AA780392~100010426~66317~RAW MATERIALS~2026~12,a43a9842a86a9d8ec1eaabb0da060e2198dfab8cb196f7c0b8cbbbac4e8b328a,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA022099,100008711,68319,ESCENARIOS,9,2026,0,BA022099~100008711~68319~ESCENARIOS~2026~9,6916aaea72e0632f6d212ad0399109e5c17433ece1e92f425c1266479f107943,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA011263,GP00,2108340,PRODUCTION FEE,4,2026,1,BA011263~GP00~2108340~PRODUCTION FEE~2026~4,e399ab1e1d896ec47d649344846f55cd18450d958a63303abf8cda21bf4abccf,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA019170,SP00,66624,STRATEGIC MATERIALS,4,2026,0.8350779713202164,BA019170~SP00~66624~STRATEGIC MATERIALS~2026~4,78e383dd6278383312ea9172957975a03f7013ad4b1b430cca5c0c33b8b2aad4,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA778389,J001,66402,PRODUCTION FEE,7,2026,0,AA778389~J001~66402~PRODUCTION FEE~2026~7,a23eb62723f094ea51e1c4938d8f0d333a4fc240bcfe15ba92584eacac795ea1,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA019068,SP00,2060885,STRATEGIC MATERIALS,2,2026,0,BA019068~SP00~2060885~STRATEGIC MATERIALS~2026~2,0e839854f7c093a53f0e1a4ae51dc02ad949458fad4a7b43784684fb175c8f48,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
