component,sku_description,ID_Producing_Plant,producing_plant,inventory,UMB,date,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
44004727,PAPEL MID PETIT ML 200 ML BLANCO IDEALSA,SP00,Livsmart,0,TH,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431490,Bloque de Polvos (Gum Acid Blend Peach HA-770-578-9),SP00,Livsmart,0,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
44004726,PAPEL MID PETIT PR 200 ML BLANCO IDEALSA,SP00,Livsmart,0,TH,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431491,Bloque de sabor (Peach EC-322-629-9),100011805,Idealsa,59,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431487,Bloque de Polvos (Gum Acid Blend Apple BR-640-351-6),SP00,Livsmart,0,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431489,Bloque de sabor (Pear ZV-498-917-1),SP00,Livsmart,0,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
44004727,PAPEL MID PETIT ML 200 ML BLANCO IDEALSA,100011805,Idealsa,2348,TH,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431492,Bloque de Polvos (Gum Acid Blend Pear OM 266-556-4),SP00,Livsmart,0,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
44004728,PAPEL MID PETIT MZ 200 ML BLANCO IDEALSA,100011805,Idealsa,772,TH,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431490,Bloque de Polvos (Gum Acid Blend Peach HA-770-578-9),100011805,Idealsa,2318,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431488,Bloque de sabor (Apple PA-241-783-8),100011805,Idealsa,152,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431492,Bloque de Polvos (Gum Acid Blend Pear OM 266-556-4),100011805,Idealsa,2400,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431489,Bloque de sabor (Pear ZV-498-917-1),100011805,Idealsa,22,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431488,Bloque de sabor (Apple PA-241-783-8),SP00,Livsmart,0,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431487,Bloque de Polvos (Gum Acid Blend Apple BR-640-351-6),100011805,Idealsa,1008,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
44004726,PAPEL MID PETIT PR 200 ML BLANCO IDEALSA,100011805,Idealsa,1662,TH,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
420511,Azucar,100011805,Idealsa,67222,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
431491,Bloque de sabor (Peach EC-322-629-9),SP00,Livsmart,0,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
420511,Azucar,SP00,Livsmart,0,KG,2026-02-10,null,null,ce9aded2-e3dd-4c61-a5f8-aa420f1e494b,2026-02-25T12:13:45.655Z,2026-02-25T12:13:45.655Z
