sku_description,client_name,id_producing_plant,producing_plant,type,moq,lead_time,safety_stock,ratio,client_code,sku_code,integration_id,record_key_hash,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp
PETIT TWIST KF 500ML PET X24 RD,Impadoel,SP00,Livsmart,Finish Good,25,30,45,1.0,2108340,BA020236,BA020236~PETIT TWIST KF 500ML PET X24 RD~2108340~Impadoel~SP00~Livsmart~25~30~45~1.0,b4a7d61acc1bcf7f531aed823f9b9effa5431c006ac3b1ee20c058c8d15ab507,0cdecdc3-c0eb-4045-9afa-6a9f02987d3e,84d7cdd0-cb72-42e5-9402-5569752e42b0,2026-02-20T09:05:51.537Z,2026-02-25T12:15:45.456Z
TROPICAL PROM FRESA 2000ML PET,The_Tesalia,400000105,Tesalia,Concentrado,25,30,45,1.0,30001,BA000784,BA000784~TROPICAL PROM FRESA 2000ML PET~30001~The_Tesalia~400000105~Tesalia~25~30~45~1.0,2b9f9a766cb80b6fe3e4f273dad9b0fe58958d04e9074f6326e521f370b5e409,0cdecdc3-c0eb-4045-9afa-6a9f02987d3e,84d7cdd0-cb72-42e5-9402-5569752e42b0,2026-02-20T09:05:51.537Z,2026-02-25T12:15:45.456Z
Petit Jugazzo Pera Lata 330ml,Recinos,SP00,Livsmart,Finish Good,25,30,45,1.0,66624,AA486209,AA486209~Petit Jugazzo Pera Lata 330ml~66624~Recinos~SP00~Livsmart~25~30~45~1.0,09fb4ab0caac8a74cbda6c5fb74aa42722090f2ee118d6953d1862b93682fac9,0cdecdc3-c0eb-4045-9afa-6a9f02987d3e,84d7cdd0-cb72-42e5-9402-5569752e42b0,2026-02-20T09:05:51.537Z,2026-02-25T12:15:45.456Z
FRUTARIS MANZANA 2000 ML PET X 6,The_Tesalia,400000105,Tesalia,Concentrado,25,30,45,1.0,30001,BA001471,BA001471~FRUTARIS MANZANA 2000 ML PET X 6~30001~The_Tesalia~400000105~Tesalia~25~30~45~1.0,7dc0ead419f41429dde332a911faf67605008603aedefe8b56dd4c1c1018b594,0cdecdc3-c0eb-4045-9afa-6a9f02987d3e,84d7cdd0-cb72-42e5-9402-5569752e42b0,2026-02-20T09:05:51.537Z,2026-02-25T12:15:45.456Z
Petit Fruit Punch 1 Litro Prisma  DO,MITCHELL A. MICHAEL LIMIT,SP00,Livsmart,Finish Good,25,30,45,1.0,66821,BA004906,BA004906~Petit Fruit Punch 1 Litro Prisma  DO~66821~MITCHELL A. MICHAEL LIMIT~SP00~Livsmart~25~30~45~1.0,eeb9c8d7e6ba39002c3245e1c1877edcb0f29d6b74a69956960c312933c89bba,0cdecdc3-c0eb-4045-9afa-6a9f02987d3e,84d7cdd0-cb72-42e5-9402-5569752e42b0,2026-02-20T09:05:51.537Z,2026-02-25T12:15:45.456Z
Frutaris Manzana,Tesalia,100009700,FISA,Concentrado,25,30,45,1.0,400000105,427336,427336~Frutaris Manzana~400000105~Tesalia~100009700~FISA~25~30~45~1.0,d3c853af178331d9f347dab4fb9fa5f94f49c8990a2d532e407ce168761be317,0cdecdc3-c0eb-4045-9afa-6a9f02987d3e,84d7cdd0-cb72-42e5-9402-5569752e42b0,2026-02-20T09:05:51.537Z,2026-02-25T12:15:45.456Z
NectarPetit FruitPunch 24/200mlDominican,Recinos,SP00,Livsmart,Finish Good,25,30,45,1.0,66624,BA004897,BA004897~NectarPetit FruitPunch 24/200mlDominican~66624~Recinos~SP00~Livsmart~25~30~45~1.0,b43397da8e92f3a7b62a380fa3a4871637a8b29fa082ea67fb678090219ea286,0cdecdc3-c0eb-4045-9afa-6a9f02987d3e,84d7cdd0-cb72-42e5-9402-5569752e42b0,2026-02-20T09:05:51.537Z,2026-02-25T12:15:45.456Z
FRUTA FRESCA FRUIT PUNCH 12/500ML PET,Impadoel,SP00,Livsmart,Finish Good,25,30,45,1.0,2108340,BA006108,BA006108~FRUTA FRESCA FRUIT PUNCH 12/500ML PET~2108340~Impadoel~SP00~Livsmart~25~30~45~1.0,55d14b46d1abee64270936a1fdb21c5de4fde9c480b26ef940023fe7083cf435,0cdecdc3-c0eb-4045-9afa-6a9f02987d3e,84d7cdd0-cb72-42e5-9402-5569752e42b0,2026-02-20T09:05:51.537Z,2026-02-25T12:15:45.456Z
Grapette 500 ML GRB labels x24,Embotelladora_La_Mariposa,GP00,Mariposa,Concentrado,25,30,45,1.0,66328,BA011117,BA011117~Grapette 500 ML GRB labels x24~66328~Embotelladora_La_Mariposa~GP00~Mariposa~25~30~45~1.0,accd2a3fca2b1eab42713c678f9ca7c44afec6f6e6b82bda3179b96242dbc8f1,0cdecdc3-c0eb-4045-9afa-6a9f02987d3e,84d7cdd0-cb72-42e5-9402-5569752e42b0,2026-02-20T09:05:51.537Z,2026-02-25T12:15:45.456Z
GINGER BEER CONC. SC340480,Jamaica Exports (PCJ),100010034,IFF,Concentrado,25,30,45,1.0,J001,426243,426243~GINGER BEER CONC. SC340480~J001~Jamaica Exports (PCJ)~100010034~IFF~25~30~45~1.0,5830f607031040d4e3a65abc98533a6a9c516323106ed2da655a662799d096d1,0cdecdc3-c0eb-4045-9afa-6a9f02987d3e,84d7cdd0-cb72-42e5-9402-5569752e42b0,2026-02-20T09:05:51.537Z,2026-02-25T12:15:45.456Z
